UID No;nvPMDB No;Manufacturer;Engine Identification;Combustor Description;Eng Type;B/P Ratio;Pressure Ratio;Rated Thrust (kN);Data Superseded;Superseded by UID No;Fuel Flow T/O (kg/sec);Fuel Flow C/O (kg/sec);Fuel Flow App (kg/sec);Fuel Flow Idle (kg/sec);Fuel LTO Cycle (kg)  ;Fuel Heat of Combustion (MJ/kg);Fuel Hydrogen Content (% mass);Fuel Aromatics Content (% vol);Fuel Naphthalene Content (% vol);Fuel Sulphur Content (ppm by mass);nvPM Mass Concentration Max (mg/m³);nvPM Mass Concentration Characteristic (mg/m³);nvPM Mass Concentration Characteristic (% of CAEP/10 Limit);nvPM Mass Concentration Number Test;nvPM Mass Concentration Number Eng;nvPM EImass T/O (mg/kg);nvPM EImass C/O (mg/kg);nvPM EImass App (mg/kg);nvPM EImass Idle (mg/kg);nvPM EImass Max (mg/kg);nvPMmass Number Test;nvPMmass Number Eng;LTOmass/Foo Avg (mg/kN);LTOmass/Foo Characteristic (mg/kN);LTOmass/Foo Characteristic (% of CAEP/11 InP Limit);LTOmass/Foo Characteristic (% of CAEP/11 NT Limit);nvPM LTO Total Mass (mg);nvPM EInum T/O (#/kg);nvPM EInum C/O (#/kg);nvPM EInum App (#/kg);nvPM EInum Idle (#/kg);nvPM EInum Max (#/kg);nvPMnum Number Test;nvPMnum Number Eng;LTOnum/Foo Avg (#/kN);LTOnum/Foo Characteristic (#/kN);LTOnum/Foo Characteristic (% of CAEP/11 InP Limit);LTOnum/Foo Characteristic (% of CAEP/11 NT Limit);nvPM LTO Total Particle Number (#);nvPM EImass_SL T/O (mg/kg);nvPM EImass_SL C/O (mg/kg);nvPM EImass_SL App (mg/kg);nvPM EImass_SL Idle (mg/kg);nvPM EInum_SL T/O (#/kg);nvPM EInum_SL C/O (#/kg);nvPM EInum_SL App (#/kg);nvPM EInum_SL Idle (#/kg);Ambient Baro Min (kPa);Ambient Baro Max (kPa);Ambient Temp Min (K);Ambient Temp Max (K);Humidity Min (kg/kg);Humidity Max (kg/kg)
04P20PW197;4;Pratt & Whitney;PW1521G;TALON X, Block-C;TF;11,4;35,1;97,7;;;0,695;0,576;0,208;0,071;265;43,21;13,98;18,1;0,78;553;240;309;4,6;3;1;9,8;4,8;0,2;0,6;9,8;3;1;7,5;10,4;0,4;1,8;732;1,94E+14;1,63E+14;1,57E+13;8,03E+13;1,94E+14;3;1;2,83E+14;3,94E+14;2,5;5,6;2,77E+16;13,0;7,0;0,2;1,2;8,53E+14;9,73E+14;6,26E+13;6,89E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
04P20PW198;4;Pratt & Whitney;PW1521GA;TALON X, Block-C;TF;11,4;35,1;97,7;;;0,695;0,576;0,208;0,071;265;43,21;13,98;18,1;0,78;553;240;309;4,6;3;1;9,8;4,8;0,2;0,6;9,8;3;1;7,5;10,4;0,4;1,8;732;1,94E+14;1,63E+14;1,57E+13;8,03E+13;1,94E+14;3;1;2,83E+14;3,94E+14;2,5;5,6;2,77E+16;13,0;7,0;0,2;1,2;8,53E+14;9,73E+14;6,26E+13;6,89E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
04P20PW199;4;Pratt & Whitney;PW1519G;TALON X, Block-C;TF;11,6;32,3;88,0;;;0,623;0,520;0,191;0,067;246;43,21;13,98;18,1;0,78;553;147;190;2,7;3;1;6,3;2,5;0,1;0,8;6,3;3;1;4,8;6,7;0,3;1,0;425;1,77E+14;1,18E+14;1,82E+13;1,04E+14;1,77E+14;3;1;2,78E+14;3,86E+14;2,3;5,0;2,44E+16;8,8;4,1;0,2;1,5;8,99E+14;7,73E+14;8,66E+13;8,42E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
04P20PW200;4;Pratt & Whitney;PW1919G;TALON X, Block-C;TF;11,6;33,3;92,8;;;0,650;0,540;0,197;0,068;252;43,21;13,98;18,1;0,78;553;192;247;3,6;3;1;8,1;3,6;0,2;0,8;8,1;3;1;6,1;8,5;0,3;1,4;564;1,87E+14;1,40E+14;1,69E+13;9,01E+13;1,87E+14;3;1;2,74E+14;3,81E+14;2,3;5,1;2,54E+16;10,9;5,5;0,2;1,5;8,76E+14;8,34E+14;7,90E+13;7,87E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
04P20PW201;4;Pratt & Whitney;PW1921G;TALON X, Block-C;TF;11,4;35,8;100,3;;;0,715;0,590;0,211;0,072;270;43,21;13,98;18,1;0,78;553;265;341;5,2;3;1;10,7;5,6;0,2;0,7;10,7;3;1;8,4;11,6;0,5;2,1;840;1,99E+14;1,75E+14;1,50E+13;7,81E+13;1,99E+14;3;1;2,90E+14;4,03E+14;2,6;5,9;2,91E+16;14,0;8,0;0,3;1,3;8,23E+14;9,25E+14;6,72E+13;7,01E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
04P20PW202;4;Pratt & Whitney;PW1922G;TALON X, Block-C;TF;11,2;37,7;105,9;;;0,765;0,631;0,222;0,075;285;43,21;13,98;18,1;0,78;553;313;403;6,3;3;1;12,4;7,3;0,2;0,6;12,4;3;1;10,2;14,2;0,6;2,7;1084;1,94E+14;1,87E+14;1,40E+13;7,33E+13;2,02E+14;3;1;2,93E+14;4,08E+14;2,8;6,4;3,11E+16;15,6;10,0;0,3;1,1;7,45E+14;9,18E+14;6,07E+13;6,37E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
04P20PW203;4;Pratt & Whitney;PW1923G-A;TALON X, Block-C;TF;11,2;37,7;105,9;;;0,765;0,631;0,222;0,075;285;43,21;13,98;18,1;0,78;553;313;403;6,3;3;1;12,4;7,3;0,2;0,6;12,4;3;1;10,2;14,2;0,6;2,7;1084;1,94E+14;1,87E+14;1,40E+13;7,33E+13;2,02E+14;3;1;2,93E+14;4,08E+14;2,8;6,4;3,11E+16;15,6;10,0;0,3;1,1;7,45E+14;9,18E+14;6,07E+13;6,37E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
04P20PW204;4;Pratt & Whitney;PW1923G;TALON X, Block-C;TF;11,2;37,7;105,9;;;0,765;0,631;0,222;0,075;285;43,21;13,98;18,1;0,78;553;313;403;6,3;3;1;12,4;7,3;0,2;0,6;12,4;3;1;10,2;14,2;0,6;2,7;1084;1,94E+14;1,87E+14;1,40E+13;7,33E+13;2,02E+14;3;1;2,93E+14;4,08E+14;2,8;6,4;3,11E+16;15,6;10,0;0,3;1,1;7,45E+14;9,18E+14;6,07E+13;6,37E+14;102,0;103,3;272,0;278,1;0,0012;0,0022
01P08CM102;1;CFM International;CFM56-5B1/3;Tech Insertion;TF;5,5;30,2;133,4;;;1,318;1,063;0,347;0,108;448;43,27;13,83;18,7;0,67;519;2054;2644;46,1;3;1;78,7;53,4;1,9;0,7;78,7;3;1;90,9;126,0;7,1;38,3;12132;3,84E+14;4,27E+14;7,87E+13;2,42E+13;4,34E+14;3;1;6,88E+14;9,56E+14;8,2;23,3;9,18E+16;90,5;63,5;3,0;1,1;9,10E+14;1,18E+15;4,37E+14;1,20E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
01P08CM103;1;CFM International;CFM56-5B2/3;Tech Insertion;TF;5,5;31,3;137,9;;;1,385;1,107;0,358;0,111;463;43,27;13,83;18,7;0,67;519;2251;2897;51,3;3;1;84,2;58,0;2,1;0,7;84,2;3;1;99,2;138,0;8,2;46,4;13681;3,66E+14;4,22E+14;8,49E+13;2,22E+13;4,34E+14;3;1;6,82E+14;9,48E+14;8,5;24,9;9,41E+16;96,0;68,4;3,2;1,0;8,42E+14;1,13E+15;4,72E+14;1,07E+14;99,5;100,2;295,5;311,8;0,0066;0,0122
