UID No;GSDB No;Manufacturer;Engine Identification;Combustor Description;Eng Type;B/P Ratio;Pressure Ratio;Rated Thrust (kN);Data Status;Data Superseded;Superseded by UID No;Test Engine Status;Data corr as Annex 16;Current Engine Status;Current Engine Status Date;HC EI T/O (g/kg);HC EI C/O (g/kg);HC EI App (g/kg);HC EI Idle (g/kg);HC Number Test;HC Number Eng;HC Dp/Foo Avg (g/kN);HC Dp/Foo Sigma (g/kN);HC Dp/Foo Min (g/kN);HC Dp/Foo Max (g/kN);HC Dp/Foo Characteristic (g/kN);HC Dp/Foo Characteristic (% of Reg limit) ;HC LTO Total mass (g);CO EI T/O (g/kg);CO EI C/O (g/kg);CO EI App (g/kg);CO EI Idle (g/kg);CO Number Test;CO Number Eng;CO Dp/Foo Avg (g/kN);CO Dp/Foo Sigma (g/kN);CO Dp/Foo Min (g/kN);CO Dp/Foo Max (g/KN);CO Dp/Foo Characteristic (g/kN);CO Dp/Foo Characteristic (% of Reg limit) ;CO LTO Total Mass (g);NOx EI T/O (g/kg);NOx EI C/O (g/kg);NOx EI App (g/kg);NOx EI Idle (g/kg);NOx Number Test;NOx Number Eng;NOx Dp/Foo Avg (g/kN);NOx Dp/Foo Sigma (g/kN);NOx Dp/Foo Min (g/kN);NOx Dp/Foo Max (g/kN);NOx Dp/Foo Characteristic (g/kN);NOx Dp/Foo Characteristic (% of original standard) ;NOx Dp/Foo Characteristic (% of CAEP/2 standard);NOx Dp/Foo Characteristic (% of CAEP/4 standard);NOx Dp/Foo Characteristic (% of CAEP/6 standard);NOx Dp/Foo Characteristic (% of CAEP/8 standard);NOx Compliance Demonstration §;NOx LTO Total mass (g);SN T/O;SN C/O;SN App;SN Idle;SN Number Test;SN Number Eng;SN Max;SN Sigma;SN Range Min;SN Range Max;SN Characteristic;SN Characteristic (% of Reg limit);Fuel Spec;Fuel H/C Ratio Min;Fuel H/C Ratio Max;Fuel Arom Min (%);Fuel Arom Max (%);Fuel Flow T/O (kg/sec);Fuel Flow C/O (kg/sec);Fuel Flow App (kg/sec);Fuel Flow Idle (kg/sec);Fuel LTO Cycle (kg)  
01P11CM122;11;CFM International;CFM56-7B27E/B1;Tech Insertion;TF;5,1;29,0;121,4;C;;;NME/DTEPS;Yes;;;0,03;0,02;0,05;1,54;7;3;2,3;0,4;1,88;2,56;2,6;13,4;273;0,31;0,17;2,82;29,39;7;3;43,8;2,5;41;45,6;47,4;40,2;5320;23,94;17,89;9,09;4,36;7;3;43,1;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;2.3.2 e);5231;13,4;11,2;2,1;2,1;7;3;13,4;4,5;8,4;16,9;14,7;65,6;Jet A;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,110;444
01P11CM123;11;CFM International;CFM56-7B27E/B3;Tech Insertion;TF;5,1;29,0;121,4;C;;;NME/DTEPS;Yes;;;0,03;0,02;0,05;1,54;7;3;2,3;0,4;1,88;2,56;2,6;13,4;273;0,31;0,17;2,82;29,39;7;3;43,8;2,5;41;45,6;47,4;40,2;5320;23,94;17,89;9,09;4,36;7;3;43,1;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;2.3.2 e);5231;13,4;11,2;2,1;2,1;7;3;13,4;4,5;8,4;16,9;14,7;65,6;Jet A;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,110;444
01P11CM124;11;CFM International;CFM56-7B27AE;Tech Insertion;TF;5,1;29,0;121,4;C;;;NME/DTEPS;Yes;;;0,03;0,02;0,05;1,54;7;3;2,3;0,4;1,88;2,56;2,6;13,4;273;0,31;0,17;2,82;29,39;7;3;43,8;2,5;41;45,6;47,4;40,2;5320;23,94;17,89;9,09;4,36;7;3;43,1;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;2.3.2 e);5231;13,4;11,2;2,1;2,1;7;3;13,4;4,5;8,4;16,9;14,7;65,6;Jet A;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,110;444
01P11CM125;11;CFM International;CFM56-7B27E/F;Tech Insertion;TF;5,1;29,0;121,4;C;;;NME/DTEPS;Yes;;;0,03;0,02;0,05;1,54;7;3;2,3;0,4;1,88;2,56;2,6;13,4;273;0,31;0,17;2,82;29,39;7;3;43,8;2,5;41;45,6;47,4;40,2;5320;23,94;17,89;9,09;4,36;7;3;43,1;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;2.3.2 e);5231;13,4;11,2;2,1;2,1;7;3;13,4;4,5;8,4;16,9;14,7;65,6;Jet A;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,110;444
01P11CM126;11;CFM International;CFM56-7B27E/B1F;Tech Insertion;TF;5,1;29,0;121,4;C;;;NME/DTEPS;Yes;;;0,03;0,02;0,05;1,54;7;3;2,3;0,4;1,88;2,56;2,6;13,4;273;0,31;0,17;2,82;29,39;7;3;43,8;2,5;41;45,6;47,4;40,2;5320;23,94;17,89;9,09;4,36;7;3;43,1;1,1;42,4;44,4;45,6;46,5;58,2;69,7;79,2;93,6;2.3.2 e);5231;13,4;11,2;2,1;2,1;7;3;13,4;4,5;8,4;16,9;14,7;65,6;Jet A;1,92;1,93;16,2;17,5;1,293;1,031;0,343;0,110;444
01P20CM127;20;CFM International;LEAP-1A24/24E1/23;TAPS II;TF;11,3;30,0;106,8;C;;;NME/DTEPS;Yes;;;0,02;0,02;0,05;0,37;4;2;0,5;0,1;0,45;0,57;0,7;3;55;0,24;0,41;3,53;23,79;4;2;32,3;1,7;30,21;34;36,8;31;3455;17,59;9,41;8,02;4,45;4;2;21,9;0,8;20,93;22,63;24,1;24;30;36;41;48;2.3.2 e);2341;1,3;1,2;1,3;1,3;4;2;1,6;0,2;1,5;1,8;1,8;8;Jet A;1,9;1,9;16,5;16,5;0,745;0,616;0,219;0,087;301
01P20CM128;20;CFM International;LEAP-1A26/26E1;TAPS II;TF;11,1;33,3;120,6;C;;;NME/DTEPS;Yes;;;0,02;0,02;0,04;0,29;4;2;0,4;0,1;0,33;0,43;0,5;2,5;46;0,24;0,26;2,65;21,63;4;2;27,0;1,4;25,41;28,38;30,8;26,1;3259;30,8;13,38;8,75;4,61;4;2;29,3;1,4;27,63;30,63;32,2;30,2;37,8;43,8;49,2;56,9;2.3.2 e);3535;1,3;1,2;1,3;1,3;4;2;1,6;0,2;1,5;1,8;1,8;8,1;Jet A;1,9;1,9;16,5;16,5;0,861;0,710;0,244;0,091;330
01P20CM129;20;CFM International;LEAP-1A26CJ;TAPS II;TF;11,1;33,3;120,6;C;;;NME/DTEPS;Yes;;;0,02;0,02;0,04;0,29;4;2;0,4;0,1;0,33;0,43;0,5;2,5;46;0,24;0,26;2,65;21,63;4;2;27,0;1,4;25,41;28,38;30,8;26,1;3259;30,8;13,38;8,75;4,61;4;2;29,3;1,4;27,63;30,63;32,2;30,2;37,8;43,8;49,2;56,9;2.3.2 e);3535;1,3;1,2;1,3;1,3;4;2;1,6;0,2;1,5;1,8;1,8;8,1;Jet A;1,9;1,9;16,5;16,5;0,861;0,710;0,244;0,091;330
01P20CM130;20;CFM International;LEAP-1A29;TAPS II;TF;10,7;35,5;130,3;C;;;NME/DTEPS;Yes;;;0,04;0,02;0,04;0,25;4;2;0,3;0,0;0,28;0,37;0,4;2,2;43;0,27;0,23;2,21;20,3;4;2;24,3;1,2;22,82;25,46;27,6;23,4;3150;49,48;21,03;9,27;4,72;4;2;41,4;1,9;39,23;43,27;45,6;41,1;51,3;58,4;65,1;74,5;2.3.2 e);5396;1,1;1,2;1,3;1,3;4;2;1,6;0,2;1,5;1,8;1,8;8,3;Jet A;1,9;1,9;16,5;16,5;0,946;0,777;0,261;0,094;352
01P20CM131;20;CFM International;LEAP-1A29CJ;TAPS II;TF;10,7;35,5;130,3;C;;;NME/DTEPS;Yes;;;0,04;0,02;0,04;0,25;4;2;0,3;0,0;0,28;0,37;0,4;2,2;43;0,27;0,23;2,21;20,3;4;2;24,3;1,2;22,82;25,46;27,6;23,4;3150;49,48;21,03;9,27;4,72;4;2;41,4;1,9;39,23;43,27;45,6;41,1;51,3;58,4;65,1;74,5;2.3.2 e);5396;1,1;1,2;1,3;1,3;4;2;1,6;0,2;1,5;1,8;1,8;8,3;Jet A;1,9;1,9;16,5;16,5;0,946;0,777;0,261;0,094;352
