trajectory,season,diurnal,engine,saf_level,water_injection,untrimmed_min_altitude,untrimmed_max_altitude,trimmed_min_altitude,trimmed_max_altitude,fuel_sum,fuel_kg_sum,energy_sum,ei_co2_conservative_sum,ei_co2_optimistic_sum,co2_conservative_sum,co2_optimistic_sum,ei_nox_sum,nox_sum,ei_h2o_sum,h2o_sum,ei_nvpm_mass_sum,nvpm_mass_sum,ei_nvpm_num_sum,nvpm_num_sum,nox_impact_sum,co2_impact_cons_sum,co2_impact_opti_sum,h2o_impact_sum,contrail_atr20_cocip_sum,contrail_atr20_accf_sum,contrail_atr20_accf_cocip_pcfa_sum,climate_non_co2_cocip,climate_total_cons_cocip,climate_total_opti_cocip,climate_non_co2_accf,climate_total_cons_accf,climate_total_opti_accf,climate_non_co2_accf_cocip_pcfa,climate_total_cons_accf_cocip_pcfa,climate_total_opti_accf_cocip_pcfa,accf_sac_pcfa_sum,accf_sac_issr_sum,accf_sac_sac_sum,contrail_formed,contrail_atr20_cocip_sum_relative_change,contrail_atr20_accf_sum_relative_change,contrail_atr20_accf_cocip_pcfa_sum_relative_change,nox_impact_sum_relative_change,co2_impact_cons_sum_relative_change,co2_impact_opti_sum_relative_change,h2o_impact_sum_relative_change,climate_non_co2_cocip_relative_change,climate_non_co2_accf_relative_change,climate_non_co2_accf_cocip_pcfa_relative_change,climate_total_cons_cocip_relative_change,climate_total_opti_cocip_relative_change,climate_total_cons_accf_relative_change,climate_total_opti_accf_relative_change,climate_total_cons_accf_cocip_pcfa_relative_change,climate_total_opti_accf_cocip_pcfa_relative_change,engine_display
hel_kef,2023-02-06,nighttime,GTF2035_wi,100,15,723.9000000000001,9966.96,723.9000000000001,9966.96,106.67405435468932,6400.443261281359,282265948.2657692,674.73,44.982,22033.52592696108,1468.9017284640718,0.2447315594851206,8.272093901314545,268.5200000000001,8768.607267955464,0.0007651620426352,0.0274849465314241,6.867964772118271e+16,2.395781252183971e+18,5.991195194682389e-12,3.663450693607257e-12,2.442300462404838e-13,1.4869958355111038e-12,1.6412141306097521e-12,3.557973633331361e-10,1.0902599316720384e-10,9.119405160803244e-12,1.2782855854410499e-11,9.363635207043728e-12,3.632755543633296e-10,3.6693900505693685e-10,3.635197844095701e-10,1.1650418419739734e-10,1.2016763489100458e-10,1.1674841424363782e-10,71.64309858540916,72.62525794850868,168.04587125914512,True,-0.8800762178233189,0.0,-0.6935727905742745,-0.934045988847166,-0.35505674796942777,-0.9570037831979619,-0.2083077471297544,-0.9142934862009616,-0.19004741709088377,-0.7402443853515546,-0.8859518520999037,-0.916458007104335,-0.19211106277223194,-0.19963915462640738,-0.7354271377440394,-0.7429552295982149,GTF2035WI - 100
hel_kef,2023-05-05,nighttime,GTF1990,0,0,518.1600000000001,9966.96,723.9000000000001,9966.96,130.54929288111416,7832.95757286685,337059997.3180334,749.7,749.7,29961.062716215703,29961.062716215703,2.2484758724435805,95.83071337215286,242.452,9689.368517636296,0.0111827908809927,0.4814633318151442,1.2875467491267108e+18,5.3556720288203325e+19,6.093617333018441e-11,4.836768452634065e-12,4.836768452634065e-12,2.9671584153320325e-12,4.751741452199626e-12,1.8683114048628635e-10,1.8683114048628635e-10,6.865507319771606e-11,7.349184165035012e-11,7.349184165035012e-11,2.5073447223180275e-10,2.5557124068443687e-10,2.5557124068443687e-10,2.5073447223180275e-10,2.5557124068443687e-10,2.5557124068443687e-10,36.68016753188756,37.70727576885207,157.6709532797343,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990
hel_kef,2023-05-05,nighttime,GTF2000,0,0,518.1600000000001,9966.96,723.9000000000001,9966.96,130.54929288111416,7832.95757286685,337059997.3180334,749.7,749.7,29961.062716215703,29961.062716215703,2.2489526738009173,95.8726475606108,242.452,9689.368517636296,0.0023550132359991,0.1082491666759844,1.195478138634178e+17,5.157200281226895e+18,6.093652333560805e-11,4.836768452634065e-12,4.836768452634065e-12,2.9671584153320325e-12,3.1177929544866336e-12,1.8683114048628635e-10,5.7363571321426356e-11,6.702147470542671e-11,7.185824315806077e-11,7.185824315806077e-11,2.5073482223722643e-10,2.555715906898605e-10,2.555715906898605e-10,1.2126725307236643e-10,1.261040215250005e-10,1.261040215250005e-10,36.68016753188756,37.70727576885207,157.6709532797343,True,-0.3438630898060799,0.0,-0.692965684563506,5.743803795178669e-06,0.0,0.0,0.0,-0.023794286659411714,1.3959206349287874e-06,-0.5163518921313083,-0.022228297122576835,-0.022228297122576835,1.3695023848822576e-06,1.3695023848822576e-06,-0.5065797654411917,-0.5065797654411917,CFM2008
hel_kef,2023-05-05,nighttime,GTF,0,0,518.1600000000001,9966.96,723.9000000000001,9966.96,112.54996509685094,6752.997905811057,290588252.8849556,749.7,749.7,25830.21698972729,25830.21698972729,2.4492855570908207,87.51289861202201,242.452,8353.458409488278,0.0016769856936281,0.0632326888256001,1.531782269009846e+17,4.970744596046477e+18,5.7619238425078026e-11,4.177064597324598e-12,4.177064597324598e-12,2.559517301961362e-12,3.0604075858676747e-12,1.8683114048628635e-10,5.727311711207882e-11,6.323916331290707e-11,6.741622791023165e-11,6.741622791023165e-11,2.470098962133257e-10,2.5118696081065033e-10,2.5118696081065033e-10,1.1745187283911819e-10,1.216289374364428e-10,1.216289374364428e-10,36.68016753188756,37.70727576885207,162.91415664750065,True,-0.3559397924626175,0.0,-0.693449834096138,-0.05443293734796043,-0.13639351599520902,-0.13639351599520902,-0.13738434431552063,-0.07888579288542899,-0.014854662724771688,-0.5315687077501872,-0.08267058769630828,-0.08267058769630828,-0.017154824862316835,-0.017154824862316835,-0.5240898893368738,-0.5240898893368738,GTF
hel_kef,2023-05-05,nighttime,GTF2035,0,0,518.1600000000001,9966.96,723.9000000000001,9966.96,103.44155591397607,6206.493354838565,267071615.55205837,749.7,749.7,23739.837082257516,23739.837082257516,2.8648129467296792,94.1274183060577,242.452,7677.432279935307,0.0017065741118168,0.0592983045802027,1.5013041943807376e+17,4.543166279554188e+18,6.213609331372207e-11,3.847419025996679e-12,3.847419025996679e-12,2.358765298964644e-12,2.9928584673923256e-12,1.8683114048628635e-10,5.725014501303842e-11,6.748771708007903e-11,7.133513610607571e-11,7.133513610607571e-11,2.51325999098973e-10,2.5517341812496973e-10,2.5517341812496973e-10,1.217450036257251e-10,1.255924226517218e-10,1.255924226517218e-10,36.68016753188756,37.70727576885207,164.2211466476537,True,-0.37015544774497294,0.0,-0.6935727905742745,0.01969142330345977,-0.20454760990235005,-0.20454760990235005,-0.2050423439556421,-0.017003202578711487,0.0023591764702517327,-0.5144464877842068,-0.02934618994221569,-0.02934618994221569,-0.0015566014329380063,-0.0015566014329380063,-0.5085815512129733,-0.5085815512129733,GTF2035
hel_kef,2023-05-05,nighttime,GTF2035,20,0,518.1600000000001,9966.96,723.9000000000001,9966.96,102.92838967667038,6175.703380600223,267068292.69405663,735.0,608.7564,23158.88767725084,19181.117129806236,2.864715347182837,93.65722248019097,247.74399999999997,7806.089073078681,0.0013603762514424,0.0472835772265466,1.2139321854121394e+17,3.7447560653495854e+18,6.182569398333795e-11,3.753273017703519e-12,3.1086108441827628e-12,2.3982957598400735e-12,2.8541850624683797e-12,1.8683114048628635e-10,5.725014501303842e-11,6.707817480564641e-11,7.083144782334993e-11,7.018678564982918e-11,2.510551302294644e-10,2.548084032471679e-10,2.5416374107364713e-10,1.2147413475621644e-10,1.2522740777391995e-10,1.245827456003992e-10,36.68016753188756,37.70727576885207,164.6466502794072,True,-0.3993391494086551,0.0,-0.6935727905742745,0.0145975798042592,-0.2240122605704813,-0.35729591469489536,-0.19171967784143465,-0.022968417607369358,0.001278874798536579,-0.515526789455922,-0.036199852490531745,-0.04497174007756273,-0.0029848328600121455,-0.0055072691552474975,-0.5100097826400475,-0.5125322189352829,GTF2035 - 20
hel_kef,2023-05-05,nighttime,GTF2035,100,0,518.1600000000001,9966.96,723.9000000000001,9966.96,100.92569601282348,6055.541760769409,267055447.1916917,674.73,44.982,20846.20251144869,1389.7468340965793,2.864335362990401,91.82256328407232,268.5200000000001,8296.09221225409,0.0006229380054621,0.021735836999381,6.378764812699051e+16,2.1313084430867103e+18,6.061455825453453e-11,3.378486748176126e-12,2.2523244987840845e-13,2.5488537597969068e-12,2.34011435590254e-12,1.8683114048628635e-10,5.725014501303842e-11,6.550352637023398e-11,6.888201311841011e-11,6.572875882011239e-11,2.499945525006178e-10,2.5337303924879393e-10,2.502197849504962e-10,1.2041355702736986e-10,1.23792043775546e-10,1.2063878947724827e-10,36.68016753188756,37.70727576885207,166.79552662979262,True,-0.5075248980940916,0.0,-0.6935727905742745,-0.005277900761953007,-0.3014991763072244,-0.9534332784204816,-0.14097820102008823,-0.04590406332254731,-0.0029510091875237115,-0.5197566734419823,-0.06272571796298225,-0.10563189948582202,-0.008601129883612894,-0.020939193782559838,-0.5156260796636483,-0.5279641435625952,GTF2035 - 100
hel_kef,2023-05-05,nighttime,GTF2035_wi,0,15,518.1600000000001,9966.96,723.9000000000001,9966.96,94.60090385670986,5676.054231402592,244246289.63148493,749.7,749.7,21710.90743511491,21710.90743511491,0.2184696294503866,6.601842120820587,242.452,7021.279084245007,0.0013595424964769,0.0433661874795411,1.178058591702073e+17,3.302813314715011e+18,4.30079360157663e-12,3.518288493035908e-12,3.518288493035908e-12,2.156699312339385e-12,2.7054001296270826e-12,1.8683114048628635e-10,5.725014501303842e-11,9.162893043543098e-12,1.2681181536579005e-11,1.2681181536579005e-11,1.9328863340020238e-10,1.968069218932383e-10,1.968069218932383e-10,6.370763792695443e-11,6.722592641999034e-11,6.722592641999034e-11,36.68016753188756,37.70727576885207,166.29869786469567,True,-0.43065081363491964,0.0,-0.6935727905742745,-0.9294213376630551,-0.2725952198270155,-0.2725952198270155,-0.27314318602094423,-0.8665372766094739,-0.22911025484558017,-0.7459159191000388,-0.8274477649245494,-0.8274477649245494,-0.22993322188296228,-0.22993322188296228,-0.7369581716629977,-0.7369581716629977,GTF2035WI
hel_kef,2023-05-05,nighttime,GTF2035_wi,20,15,518.1600000000001,9966.96,723.9000000000001,9966.96,94.1330210387198,5647.981262323188,244246949.68916628,735.0,608.7564,21179.92973371196,17542.065002649593,0.2184573399744042,6.568822402410438,247.74399999999997,7139.048315576511,0.0010845283729621,0.0345973473798282,9.554539136266637e+16,2.726316106911945e+18,4.279275862529565e-12,3.4322485740354856e-12,2.842725558959151e-12,2.192879422326397e-12,2.511341073452758e-12,1.8683114048628635e-10,5.725014501303842e-11,8.983496358308719e-12,1.2415744932344206e-11,1.1826221917267871e-11,1.9330329577114232e-10,1.967355443451778e-10,1.9614602133010148e-10,6.372230029789436e-11,6.715454887192985e-11,6.656502585685352e-11,36.68016753188756,37.70727576885207,166.79552662979262,True,-0.47149037911348596,0.0,-0.6935727905742745,-0.9297744569659439,-0.290383939680571,-0.41226759420103604,-0.2609496645021535,-0.8691502908687078,-0.22905177716275726,-0.745857441417216,-0.8310595481956456,-0.8390811598716886,-0.23021250819025313,-0.23251919580305935,-0.7372374579702885,-0.7395441455830948,GTF2035WI - 20
hel_kef,2023-05-05,nighttime,GTF2035_wi,100,15,518.1600000000001,9966.96,723.9000000000001,9966.96,92.30494873235372,5538.296923941223,244244432.64273185,674.73,44.982,19065.58716066766,1271.0391440445107,0.2184081694177424,6.439806188211104,268.5200000000001,7587.4667857994755,0.0004981003128999,0.0159423426965056,5.080389664371915e+16,1.559747109238495e+18,4.195182734470818e-12,3.0896211755883162e-12,2.059747450392211e-13,2.330609746003922e-12,2.0138771918067368e-12,1.8683114048628635e-10,5.725014501303842e-11,8.539669672281475e-12,1.1629290847869792e-11,8.745644417320697e-12,1.933569329667611e-10,1.9644655414234937e-10,1.9356290771180032e-10,6.377593749351316e-11,6.686555866910147e-11,6.398191223855236e-11,37.52314568869679,37.70727576885207,168.99194024479917,True,-0.5761812354343282,0.0,-0.6935727905742745,-0.9311544768041292,-0.36122202130520975,-0.9574148014203472,-0.21453140689722122,-0.8756148777572701,-0.22883785685438746,-0.7456435211088461,-0.841760791582852,-0.8809984316500111,-0.23134327001640573,-0.24262641135432172,-0.738368219796441,-0.7496513611343572,GTF2035WI - 100
hel_kef,2023-08-06,nighttime,GTF1990,0,0,716.2800000000001,9966.96,723.9000000000001,9966.96,120.46914691149448,7228.14881468967,311034471.6449112,749.7,749.7,27647.669216187987,27647.669216187987,2.1841434381317915,90.36562294013302,242.452,8941.22008377112,0.0106702202925764,0.4167177981238152,1.3072303511187855e+18,4.681908230420511e+19,5.890275230963556e-11,4.338050087513263e-12,4.338050087513263e-12,4.0322710448952176e-12,0.0,8.697632132323764e-11,8.697632132323764e-11,6.293502335453077e-11,6.727307344204403e-11,6.727307344204403e-11,1.4991134467776838e-10,1.5424939476528166e-10,1.5424939476528166e-10,1.4991134467776838e-10,1.5424939476528166e-10,1.5424939476528166e-10,13.94211473771558,15.651250311719654,90.14365596869813,True,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CFM1990
hel_kef,2023-08-06,nighttime,GTF2000,0,0,716.2800000000001,9966.96,723.9000000000001,9966.96,120.46914691149448,7228.14881468967,311034471.6449112,749.7,749.7,27647.669216187987,27647.669216187987,2.1859904634774163,90.54623073400448,242.452,8941.22008377112,0.0019456657794718,0.0921491507853194,1.1014246872190973e+17,4.411015413156602e+18,5.890292685255926e-11,4.338050087513263e-12,4.338050087513263e-12,4.0322710448952176e-12,0.0,8.697632132323764e-11,2.9544273343418804e-11,6.293519789745447e-11,6.727324798496773e-11,6.727324798496773e-11,1.4991151922069208e-10,1.5424956930820536e-10,1.5424956930820536e-10,9.247947124087327e-11,9.681752132838652e-11,9.681752132838652e-11,13.94211473771558,15.651250311719654,90.14365596869813,True,,0.0,-0.6603182004718173,2.963238844663144e-06,0.0,0.0,0.0,2.7733829972261104e-06,1.1643076384689934e-06,-0.383105585240022,2.5945436230418865e-06,2.5945436230418865e-06,1.1315631025138376e-06,1.1315631025138376e-06,-0.3723312725102625,-0.3723312725102625,CFM2008
hel_kef,2023-08-06,nighttime,GTF,0,0,716.2800000000001,9966.96,723.9000000000001,9966.96,103.6998990917724,6221.993945506344,267738621.4690835,749.7,749.7,23799.12684156177,23799.12684156177,2.373162912031106,79.59619159552936,242.452,7696.606510591348,0.0014572129524449,0.0535374806766959,1.3848659686148906e+17,4.182562147839639e+18,5.607799695965784e-11,3.73628704946411e-12,3.73628704946411e-12,3.477356409652254e-12,0.0,8.697632132323764e-11,2.9133980932293694e-11,5.955535336931009e-11,6.32916404187742e-11,6.32916404187742e-11,1.4653167469254772e-10,1.5026796174201184e-10,1.5026796174201184e-10,8.868933430160376e-11,9.242562135106787e-11,9.242562135106787e-11,13.94211473771558,15.651250311719654,109.62709776183284,True,,0.0,-0.6650354890956981,-0.04795625398162641,-0.138717402037676,-0.138717402037676,-0.137618386528226,-0.05370094114658616,-0.022544457809281836,-0.4083881077029906,-0.059183159317075816,-0.059183159317075816,-0.02581166058595102,-0.02581166058595102,-0.40080399348269624,-0.40080399348269624,GTF
