TT3;PT3;FAR;FGR
[K];[bar];[-];[kN]
887,95;42,68861;0,030237;127,493
889,59;42,9821;0,030372;128,418
890,49;43,14322;0,030438;128,921
891,56;43,33532;0,030498;129,531
893,35;43,65621;0,030630;130,556
895,14;43,97801;0,030762;131,583
896,92;44,30068;0,030894;132,614
898,71;44,62422;0,031027;133,647
900,49;44,94859;0,031159;134,683
902,27;45,27367;0,031292;135,721
904,04;45,59547;0,031426;136,746
905,81;45,89895;0,031560;137,718
907,57;46,20247;0,031694;138,691
909,34;46,50595;0,031829;139,664
910,92;46,77814;0,031969;140,54
912,74;47,09267;0,032103;141,549
914,58;47,41233;0,032236;142,57
916,18;47,69096;0,032400;143,461
918;48,00786;0,032510;144,471
919,8;48,32243;0,032645;145,484
921,34;48,58906;0,032788;146,347
923,12;48,90011;0,032924;147,351
924,7;49,17528;0,033066;148,251
926,43;49,47187;0,033204;149,222
927,46;49,64107;0,033268;149,767
928,24;49,76808;0,033340;150,18
930,06;50,06502;0,033476;151,129
931,62;50,31551;0,033620;151,942
933,43;50,60828;0,033756;152,889
935,25;50,90163;0,033893;153,838
936,81;51,15352;0,034038;154,656
938,62;51,4479;0,034175;155,609
940,44;51,74282;0,034313;156,564
941,99;51,99599;0,034458;157,387
943,83;52,27579;0,034595;158,29
945,7;52,55298;0,034732;159,185
947,3;52,79059;0,034877;159,956
949,17;53,06783;0,035015;160,853
951,03;53,34509;0,035152;161,751
952,63;53,58277;0,035298;162,524
954,49;53,86008;0,035436;163,423
956,35;54,12651;0,035575;164,287
957,96;54,35321;0,035721;165,029
959,83;54,61813;0,035860;165,893
961,55;54,86272;0,036004;166,719
963,36;55,1023;0,036145;167,361
965,24;55,35837;0,036284;168,072
967,12;55,61423;0,036424;168,782
968,99;55,86986;0,036564;169,492
970,86;56,12528;0,036705;170,202
972,72;56,38047;0,036845;170,912
974,58;56,63545;0,036987;171,622
976,44;56,89026;0,037128;172,333
978,4;57,15677;0,037267;173,076
980,3;57,41439;0,037408;173,788
981,94;57,63511;0,037557;174,397
983,84;57,8925;0,037699;175,109
985,73;58,14977;0,037841;175,823
987,36;58,3702;0,037991;176,433
989,25;58,62726;0,038134;177,147
991,14;58,88423;0,038277;177,862
992,76;59,10456;0,038429;178,472
994,67;59,35783;0,038572;179,176
996,57;59,61074;0,038715;179,879
998,2;59,82745;0,038867;180,481
1000,11;60,08142;0,039012;181,192
1002;60,33235;0,039157;181,889
1003,62;60,54839;0,039310;182,491
1005,53;60,80588;0,039455;183,222
1007,39;61,05245;0,039602;183,9
1009,01;61,26877;0,039756;184,502
1010,93;61,52881;0,039901;185,245
1013,07;61,81916;0,040041;185,879
1014,98;62,07839;0,040187;186,395
1017,21;62,37978;0,040324;186,996
1019,43;62,68007;0,040461;187,596
1021,32;62,93658;0,040609;188,108
1023,53;63,23484;0,040748;188,706
1025,72;63,52559;0,040887;189,292
1027,59;63,76954;0,041037;189,784
1029,77;64,0536;0,041177;190,359
1031,94;64,33705;0,041318;190,934
1033,8;64,57954;0,041469;191,424
1035,96;64,86191;0,041611;191,998
1038,12;65,14369;0,041754;192,57
1039,96;65,38478;0,041906;193,059
1042,11;65,66552;0,042050;193,631
1044,25;65,94626;0,042194;194,203
1046,09;66,18698;0,042348;194,692
1048,23;66,46824;0,042492;195,265
1050,37;66,74947;0,042638;195,839
1052,21;66,99077;0,042793;196,329
1054,35;67,27114;0,042939;196,901
1056,41;67,54553;0,043088;197,475
