TT3;PT3;FAR;FGR
673,61;13,27687;0,019764;45,944
676,84;13,55781;0,019837;47,001
679,75;13,8162;0,019919;47,983
682,92;14,10564;0,019995;49,074
686,02;14,39432;0,020071;50,158
689,15;14,68381;0,020148;51,242
692,06;14,95303;0,020231;52,264
694,71;15,20085;0,020320;53,21
697,35;15,45242;0,020410;54,177
699,81;15,68595;0,020506;55,087
702,25;15,91627;0,020602;55,989
704,47;16,12949;0,020704;56,832
706,93;16,36995;0,020799;57,768
709,2;16,5944;0,020900;58,643
711,57;16,83313;0,020998;59,576
713,95;17,07479;0,021097;60,52
716,29;17,31479;0,021196;61,461
718,52;17,536;0,021299;62,335
720,75;17,76042;0,021402;63,222
722,99;17,98807;0,021504;64,12
725,23;18,21898;0,021607;65,031
727,48;18,4533;0,021710;65,954
729,74;18,69076;0,021813;66,889
732,12;18,94378;0,021912;67,879
734,29;19,17731;0,022018;68,805
736,55;19,42351;0,022121;69,77
738,81;19,67096;0,022224;70,743
741,09;19,92196;0,022327;71,726
743,75;20,19892;0,022420;72,75
746,41;20,47938;0,022513;73,786
749,37;20,79498;0,022597;74,949
751,57;21,03794;0,022703;75,843
754,05;21,32262;0,022801;76,946
756,54;21,61067;0,022900;78,063
758,67;21,86025;0,023008;79,041
761,16;22,15456;0,023106;80,182
763,59;22,44541;0,023207;81,311
765,58;22,68147;0,023319;82,243
767,89;22,95937;0,023423;83,327
770,6;23,29064;0,023516;84,645
772,52;23,52785;0,023631;85,591
774,73;23,80004;0,023739;86,653
777,02;24,08501;0,023844;87,763
778,98;24,33082;0,023958;88,736
781,15;24,60576;0,024067;89,815
783,48;24,90484;0,024172;90,991
785,66;25,18615;0,024281;92,088
787,97;25,48914;0,024386;93,277
789,79;25,72724;0,024506;94,223
791,91;26,00818;0,024617;95,325
794,08;26,3003;0,024727;96,476
796,28;26,598;0,024836;97,649
798,42;26,89143;0,024947;98,802
800,57;27,18705;0,025059;99,966
802,74;27,48736;0,025169;101,15
804,87;27,78275;0,025281;102,314
806,96;28,07424;0,025394;103,47
809,12;28,37714;0,025506;104,646
810,86;28,64094;0,025630;105,742
812,65;28,89169;0,025752;106,796
814,37;29,13364;0,025877;107,819
816,22;29,39851;0,025997;108,923
817,89;29,63616;0,026124;109,921
819,79;29,9106;0,026244;111,063
821,34;30,13471;0,026374;112,006
823,14;30,39485;0,026498;113,096
824,76;30,62928;0,026626;114,084
826,47;30,87827;0,026753;115,132
828,28;31,14022;0,026876;116,207
830,12;31,40556;0,026999;117,29
831,95;31,67199;0,027123;118,378
833,78;31,93947;0,027246;119,471
835,6;32,20799;0,027370;120,569
837,43;32,47752;0,027495;121,671
839,25;32,74803;0,027619;122,777
841,06;33,01555;0,027744;123,873
842,85;33,27629;0,027870;124,949
844,64;33,53802;0,027996;126,029
846,43;33,80074;0,028122;127,113
848,23;34,06445;0,028249;128,201
850,07;34,33728;0,028437;129,326
851,86;34,60299;0,028565;130,423
853,65;34,86962;0,028693;131,524
855,44;35,13714;0,028821;132,628
857,23;35,4055;0,028950;133,737
859,01;35,66427;0,029079;134,806
860,79;35,91924;0,029208;135,865
862,57;36,17432;0,029338;136,925
864,37;36,43319;0,029467;137,995
866,18;36,69488;0,029596;139,071
868,07;36,9686;0,029722;140,192
869,73;37,20861;0,029856;141,189
871,63;37,48559;0,029983;142,325
873,28;37,72537;0,030118;143,317
874,9;37,96161;0,030254;144,299
876,74;38,22888;0,030383;145,413
878,26;38,43798;0,030522;146,295
880,04;38,68239;0,030654;147,323
881,81;38,92728;0,030786;148,352
883,34;39,14002;0,030926;149,24
885,13;39,38007;0,031058;150,246
886,92;39,61991;0,031191;151,254
888,45;39,82582;0,031331;152,124
890,24;40,06642;0,031464;153,136
892,03;40,30742;0,031597;154,15
893,56;40,51429;0,031738;155,025
895,34;40,75599;0,031872;156,043
897,13;40,99804;0,032006;157,064
898,66;41,19516;0,032147;157,893
900,48;41,40962;0,032281;158,804
902,13;41,60401;0,032420;159,63
903,95;41,81907;0,032554;160,543
905,77;42,03443;0,032688;161,459
907,32;42,21924;0,032830;162,249
909,3;42,46586;0,032960;163,287
910,99;42,65842;0,033099;164,12
912,53;42,83984;0,033243;164,899
914,33;43,05485;0,033379;165,818
916,2;43,27671;0,033513;166,732
918,02;43,48809;0,033649;167,502
919,84;43,69923;0,033785;168,271
921,65;43,91011;0,033922;169,041
923,46;44,12072;0,034058;169,81
925,27;44,33098;0,034196;170,578
926,91;44,51763;0,034339;171,26
928,83;44,73513;0,034473;172,055
930,55;44,93039;0,034614;172,766
932,46;45,14728;0,034749;173,561
934,17;45,34205;0,034891;174,272
936,07;45,55829;0,035027;175,067
937,94;45,76664;0,035164;175,818
939,53;45,94497;0,035310;176,465
941,4;46,15377;0,035448;177,22
943,25;46,36203;0,035586;177,974
944,85;46,54029;0,035733;178,619
946,7;46,74796;0,035872;179,373
948,55;46,95531;0,036012;180,128
950,13;47,13278;0,036160;180,774
951,97;47,33955;0,036300;181,529
953,81;47,54601;0,036441;182,285
955,37;47,72285;0,036590;182,932
957,32;47,95385;0,036728;183,773
958,86;48,10209;0,036879;184,324
960,63;48,29765;0,037023;185,043
962,63;48,52517;0,037160;185,793
964,8;48,7779;0,037292;186,457
966,65;48,99378;0,037434;187,023
968,81;49,24477;0,037568;187,683
970,96;49,49484;0,037701;188,341
972,8;49,70846;0,037845;188,902
974,93;49,95068;0,037980;189,545
977,05;50,19013;0,038115;190,181
978,87;50,39484;0,038260;190,723
980,98;50,63307;0,038397;191,357
983,08;50,87065;0,038533;191,989
984,88;51,07378;0,038680;192,529
986,98;51,31019;0,038818;193,16
989,07;51,54597;0,038956;193,789
990,85;51,74759;0,039104;194,327
992,93;51,98225;0,039243;194,954
995;52,21632;0,039383;195,581
996,77;52,41649;0,039532;196,116
998,83;52,64948;0,039673;196,742
1000,88;52,87886;0,039814;197,362
1002,62;53,07243;0,039965;197,888
1004,74;53,32313;0,040105;198,546
1006,77;53,54956;0,040248;199,16
1008,53;53,74973;0,040400;199,696
1010,48;53,97251;0,040546;200,294
1012,52;54,20552;0,040689;200,922
1014,37;54,41628;0,040839;201,489
1016,32;54,63871;0,040986;202,088
1018,26;54,86127;0,041134;202,687
1020,23;55,07461;0,041282;203,283
1022,01;55,24489;0,041435;203,811
1023,54;55,39104;0,041597;204,263
1025,33;55,56184;0,041751;204,793
1027,08;55,72119;0,041907;205,306
1028,12;55,69042;0,042085;205,473
1029,74;55,84162;0,042246;205,958
1032,52;56,32709;0,042370;206,941
1033;56,14693;0,042568;207,029
1034,63;56,30009;0,042729;207,435
1037,18;56,71233;0,042861;208,387
1038,69;56,86055;0,043028;208,85
1040,44;57,03379;0,043187;209,395
1042,19;57,20736;0,043346;209,94
1043,71;57,35729;0,043513;210,402
