TT3;PT3;FAR
1028,12;55,69042;4,21E-02
1029,74;55,84162;4,22E-02
1032,52;56,32709;4,24E-02
1033;56,14693;4,26E-02
1034,63;56,30009;4,27E-02
1037,18;56,71233;4,29E-02
1038,69;56,86055;4,30E-02
1040,44;57,03379;4,32E-02
1042,19;57,20736;4,33E-02
1043,71;57,35729;4,35E-02
