Segment Type;Mach [-];Altitude [m];Delta ISA [K];Duration [s];Total Aircraft Thrust [N];Fuel Flow per Engine [kg/s];;;
descent;0,7214;7733;0;29,8;1138;0,0840;;;
descent;0,7076;7428;0;29,4;916;0,0834;;;
descent;0,6941;7124;0;29,6;732;0,0829;;;
descent;0,6809;6819;0;29,6;534;0,0824;;;
descent;0,6680;6514;0;29,6;331;0,0818;;;
descent;0,6554;6209;0;29,6;122;0,0813;;;
descent;0,6431;5904;0;29,7;-75;0,0808;;;
descent;0,6311;5600;0;29,7;-268;0,0804;;;
descent;0,6194;5295;0;29,8;-442;0,0800;;;
descent;0,6079;4990;0;29,9;-620;0,0795;;;
descent;0,5967;4685;0;30,0;-813;0,0791;;;
descent;0,5858;4380;0;30,1;-993;0,0788;;;
descent;0,5751;4076;0;30,2;-1162;0,0788;;;
descent;0,5647;3771;0;30,3;-1335;0,0787;;;
descent;0,5544;3466;0;30,4;-1507;0,0786;;;
descent;0,5445;3161;0;30,5;-1679;0,0786;;;
descent;0,5408;3048;0;11,3;-1744;0,0786;;;
descent;0,5215;3048;0;10,0;-1428;0,0795;;;
descent;0,5029;3048;0;10,0;-1126;0,0803;;;
descent;0,4852;3048;0;10,0;-820;0,0810;;;
descent;0,4681;3048;0;10,0;-523;0,0816;;;
descent;0,4521;3048;0;9,7;-244;0,0822;;;
descent;0,4438;2743;0;38,2;-372;0,0825;;;
descent;0,4358;2438;0;43,7;-500;0,0828;;;
descent;0,4279;2134;0;43,3;-609;0,0832;;;
descent;0,4203;1829;0;43,7;-722;0,0837;;;
descent;0,4128;1524;0;44,1;-838;0,0842;;;
descent;0,4054;1219;0;44,4;-872;0,0856;;;
descent;0,3983;914;0;44,9;-908;0,0869;;;
descent;0,3913;610;0;45,4;-945;0,0881;;;
descent;0,3845;305;0;45,8;-986;0,0893;;;
descent;0,3805;122;0;27,7;-1012;0,0900;;;
landing;0,3477;122;0;3,0;-403;0,0905;;;
landing;0,3201;122;0;3,0;109;0,0908;;;
landing;0,2965;122;0;3,0;555;0,0914;;;
landing;0,2760;122;0;3,0;958;0,0918;;;
landing;0,2578;122;0;3,0;1315;0,0922;;;
landing;0,2414;122;0;3,0;1636;0,0926;;;
landing;0,2265;122;0;3,0;1929;0,0930;;;
landing;0,2126;122;0;3,0;2201;0,0933;;;
landing;0,1995;122;0;3,0;2472;0,0936;;;
landing;0,1868;122;0;3,0;2792;0,0939;;;
landing;0,1821;122;0;1,1;2910;0,0940;;;
landing;0,1818;95;0;3,0;2899;0,0941;;;
landing;0,1816;68;0;3,0;2889;0,0941;;;
landing;0,1813;41;0;3,0;2878;0,0942;;;
landing;0,1810;15;0;2,9;2868;0,0943;;;
landingRoll;0,1808;0;0;1,7;2862;0,0943;;;
landingRoll;0,1808;0;0;3,0;2862;0,0943;;;
landingRoll;0,1370;0;0;3,0;3969;0,0953;;;
landingRoll;0,0961;0;0;3,0;5056;0,0962;;;
landingRoll;0,0571;0;0;3,0;6551;0,0964;;;
landingRoll;0,0196;0;0;3,0;7993;0,0967;;;
landingRoll;0,0000;0;0;1,6;8744;0,0968;;;
taxiIn;0,0294;0;0;300,0;7616;0,0966;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
