index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py
152,407463.0,BAW680,42.47128244173729,25.56467455486919,226.869999804,9837.42,-0.4540957065888285,34610D,232.36632,52.523735,-9.29062,174.43998178944906,62128.03864903776,0.24826620503081845,0.18710987608051785,11.226592564831071,11485.442775249856,-905.8916722577769,2023-11-06 02:32:00,4.419593289719274e-05,0.27100554629664736,0.1639713332867365,0.09355493804025893,0.20602812004690024,0.006701459802591264,0.016631262653284736,0.00023353095913952425,3.8197548314010705e-06,539019336270319.25,35.46480591230135,13.887295002696035,0.013471911077797284,0.00027493696077137314,0.0002245318512966214,0.07523455879328539,0.18671240964711908,0.0026217569295336517,4.2882831189684816e-05,6051350472872545.0,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.283896579729588,0.6423951561536619,0.5708429711298026,5.742721387624928,6.701459802591264,3.8197548314010703,539019336270319.25
153,407463.0,BAW680,42.41290283203125,25.707321166992188,222.239999808,9570.72,-0.449636992450702,34610D,233.67313,53.097263,-9.215548,170.11052991244412,62116.812056472925,0.23873342783197984,0.1721007683984697,10.326046103908181,10417.039331713897,-955.8681976519721,2023-11-06 02:33:00,5.641101872200274e-05,0.28220153011664645,0.18794486818938938,0.08605038419923484,0.18524587497181744,0.006278078806794175,0.01933529002228499,0.0002849494289725596,2.1308693450567278e-06,459303510705434.25,32.619979642245944,12.773319030534422,0.012391255324689817,0.0002528827617283636,0.0002065209220781636,0.06482773120292552,0.19965709620255068,0.00294240094085296,2.20034550984604e-05,4742789227231199.0,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.120924174613739,0.6179061606612948,0.5551163390057755,5.208519665856948,6.278078806794175,2.1308693450567273,459303510705434.25
154,407463.0,BAW680,42.35641479492188,25.84502480246804,216.581110924,9288.78,-0.44521272826457,34610D,235.18102,53.097584,-9.162471,165.96065690992782,62106.486010369015,0.2289764913151478,0.15976516711535255,9.585910026921153,9507.083476042177,-980.4748688868929,2023-11-06 02:34:00,7.87234283778567e-05,0.29444156275419026,0.2311536397459981,0.07988258355767627,0.16833333921963528,0.005923166079743955,0.022109518158963015,0.00034033197180622076,6.368212326645642e-07,388784058868119.7,30.281889775043922,11.857770703301467,0.011503092032305384,0.00023475698025113027,0.00019171820053842306,0.05677893711493684,0.21193985181039887,0.0032623916610190987,6.104511039555535e-06,3726849008211012.5,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.178753678444188,0.6264840859507145,0.5398352486252984,4.753541738021088,5.923166079743955,0.6368212326645641,388784058868119.7
155,407463.0,BAW680,42.2999267578125,25.982104214754973,214.008888704,8999.220000000001,-0.4407752387052714,34610D,236.92072,52.594994,-9.398208,161.73860180641998,62096.90010034209,0.2266624320564358,0.16266391997383362,9.759835198430016,9831.879611256003,-1005.96320226913,2023-11-06 02:35:00,0.00010819214301227438,0.3074563335831328,0.27375063544386896,0.08133195998691681,0.16823246173055426,0.005976161949282491,0.021697338539130653,0.0003340783387564845,6.580189611832736e-07,460603698169900.0,30.83131939184042,12.07291614045793,0.011711802238116019,0.00023901637220644935,0.0001951967039686003,0.05832635574412539,0.21176244838645947,0.003260549529628564,6.422156618590868e-06,4495416185925625.5,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.114672271618121,0.6167556655318587,0.5241666434074611,4.9159398056280015,5.97616194928249,0.6580189611832736,460603698169900.0
156,407463.0,BAW680,42.24394226074219,26.116811578924004,211.436666484,8702.04,-0.4363448465389499,34610D,238.9688,51.803898,-10.132676,158.68140830792024,62087.140265143666,0.21997438344335124,0.15866285591521903,9.519771354913141,9486.385918097212,-1006.9221607569548,2023-11-06 02:36:00,0.00014132009364869504,0.32129405903094205,0.29910756381349773,0.07933142795760952,0.16184118402725642,0.005856555369848857,0.022734063719886767,0.0003562604338364428,1.149332437772907e-06,827041856808039.0,30.07295771017061,11.775957166027556,0.011423725625895768,0.0002331372576713422,0.0001903954270982628,0.05575306804834988,0.21642308858134812,0.0033915178729250965,1.094138201838301e-05,7873249377755345.0,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,3.9676242404687008,0.5945829310410792,0.5120503262393413,4.743192959048606,5.856555369848857,1.1493324377729068,827041856808039.0
157,407463.0,BAW680,42.18896484375,26.24914689497514,207.835555376,8404.86,-0.4319219297254362,34610D,241.3642,51.187183,-11.513597,155.67324373214345,62077.62049378875,0.20998920640538085,0.15163116799245058,9.097870079547034,8821.672603589057,-1008.8981730719407,2023-11-06 02:37:00,0.0001648872618749471,0.33563182381011275,0.28236007158150805,0.07581558399622529,0.15340136842902471,0.0056656905433598425,0.024522847715853852,0.0003937658355472588,1.7758156551890244e-06,1294294166272785.5,28.74017158128908,11.254065288399682,0.01091744409545644,0.00022280498153992736,0.00018195740159094066,0.05154571647440609,0.22310568249935508,0.0035824304135732435,1.615614011613544e-05,1.177532016946545e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,3.917319625632631,0.5869520277379351,0.4998443321521794,4.410836301794529,5.665690543359843,1.7758156551890245,1294294166272785.5
158,407463.0,BAW680,42.134765625,26.37911016290838,202.176666492,8107.68,-0.4275072623860639,34610D,243.90909,50.62576,-12.760939,152.41521355822445,62068.52262370921,0.2037716395983999,0.15033737557400811,9.020242534440486,8668.857093707278,-1011.3352549226927,2023-11-06 02:38:00,0.00017767153383280366,0.35048333574147195,0.24351862419904136,0.07516868778700406,0.15118096638831055,0.00563210114968282,0.024874299456337394,0.00040206595917956727,2.1322271068339687e-06,1560117845616727.0,28.494946166297495,11.158040015102882,0.010824291041328583,0.00022090389880262415,0.0001804048506888097,0.05080291834864014,0.22437221397046442,0.0036267324666421448,1.9233205642150742e-05,1.4072641349771656e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,3.9868364874431386,0.5973171257626062,0.4868234959485389,4.334428546853639,5.63210114968282,2.1322271068339687,1560117845616727.0
159,407463.0,BAW680,42.08152770996094,26.50570262562145,202.176666492,7810.5,-0.423113151306518,34610D,246.54372,50.068977,-13.388639,149.41848469658242,62059.50238117477,0.20249241288396722,0.15464028110393463,9.278416866236078,9038.711325161517,-1013.8420045895516,2023-11-06 02:39:00,0.0001788896298803018,0.3658625608468333,0.1954723091144556,0.07732014055196731,0.15481742539547622,0.005752977130077749,0.023729440261556226,0.00037943730939951295,2.23778600986608e-06,1638847235096220.5,29.31051888043977,11.47740166353403,0.011134100239483294,0.00022722653549965904,0.00018556833732472156,0.05337852003478382,0.22017163874916473,0.0035205775312116784,2.0763111456968574e-05,1.5205907827301136e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.025243402666613,0.6030664360975108,0.47469487810442695,4.519355662580758,5.752977130077749,2.2377860098660802,1638847235096220.5
160,407463.0,BAW680,42.02824401855469,26.63217024369673,198.575555384,7513.320000000001,-0.4187023491152094,34610D,249.14203,49.512127,-12.905006,147.18644459236157,62050.22396430853,0.1994008822493017,0.15729051665194982,9.43743099911699,9190.544832593328,-1041.981715576507,2023-11-06 02:40:00,0.00017679611239812773,0.38178372603429345,0.15539946045723477,0.07864525832597491,0.15675576790362633,0.005830635493273149,0.02304778543330941,0.00036645832798034314,2.424302507779487e-06,1777957528844807.0,29.81284452621057,11.674102145907716,0.011324917198940385,0.0002311207591620487,0.00018874861998233978,0.05502622014876779,0.2175118847093112,0.003458425184366271,2.2879187638155185e-05,1.677935149783342e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.271886628714987,0.6400277413586857,0.46515910308036673,4.595272416296664,5.830635493273149,2.424302507779487,1777957528844807.0
161,407463.0,BAW680,41.97578042240466,26.75598854242369,194.974444276,7208.52,-0.4143047524500526,34610D,251.64275,49.03126,-10.858626,146.01739007316,62040.78653330941,0.20370124228574085,0.16950980014078385,10.17058800844703,10199.135602841396,-991.1287447819673,2023-11-06 02:41:00,0.000179039628147509,0.39869127132488136,0.12858081582772682,0.08475490007039192,0.1678407953145094,0.006158374773778958,0.02038664474700508,0.00031423018656008214,2.22079412526109e-06,1626174114567013.0,32.12888751868417,12.581017366448977,0.012204705610136436,0.00024907562469666194,0.0002034117601689406,0.06263429262571896,0.20734416459635951,0.0031959057673200445,2.2586782099610054e-05,1.653914694926223e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.44800071112952,0.6664037382761075,0.45916585435887297,5.099567801420698,6.158374773778958,2.22079412526109,1626174114567013.0
