Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
139,140,407463.0,BAW680,43.18986511230469,23.744712652162065,230.471110912,10134.6,0.8684136672361437,34610D,219.71301,-11.489843,-13.615808,235.63776330662492,63330.54874117056,0.3455813630526634,0.5730623063210403,34.38373837926242,36248.22316729142,-24.712008280960177,2023-05-05 11:20:00,4.150762317896648e-05,0.2589565316756602,0.6756918380736906,0.2865311531605201,0.4008092835806817,0.0115601360104059,0.0014789880434689,0.0003286640096597,3.281522211199224e-05,449970680926610.0,108.61822954008996,42.53268437514762,0.0412604860551149,0.0008420507358186,0.0006876747675852,0.3974806922104874,0.0508531379526952,0.0113006973228211,0.0011283100119561,1.5471674171319124e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7930018603493112,18.12411158364571,11.560136010405914,32.81522211199224,449970680926610.0,8.61585025814394,649.534496699924,1298.56992598688,0.0041507623179,0.0182839261687181,0.317010377699677,18.1245435194189,17.3382004923018,17.33748085467961,0.0041507623178966,0.4104537850754827,11.35925769849733,579431375766614.8,11.039737620508
140,141,407463.0,BAW680,43.13246154785156,23.8943055618641,230.985555356,10126.98,0.8675974439973927,34610D,219.76508,-12.38731,-13.823859,237.11825109327648,63296.16500279129,0.3466460034036543,0.5940266955073814,35.641601730442886,37454.72692501296,49.42199247828885,2023-05-05 11:21:00,3.990606057916383e-05,0.2592599627713964,0.6460839546539955,0.2970133477536907,0.4160060653544433,0.011899714122454,0.001478377818113,0.0003285284040251,3.4692571332146536e-05,448221133268114.5,112.59181986646908,44.088661340557856,0.0427699220765314,0.0008728555525822,0.0007128320346088,0.4241248714586344,0.0526917534003064,0.0117092785334014,0.0012364988104253,1.5975319119109902e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7978896448514019,18.72736346250648,11.899714122454064,34.692571332146535,448221133268114.5,8.83484756875648,653.999736688063,1308.68891035431,0.00399060605792,0.0184822606207891,0.327292191394431,18.7273268926243,17.7084501787778,17.707743532491673,0.0039906060579163,0.42514718258044804,11.711186753020378,587755247874061.8,11.889825125619328
141,142,407463.0,BAW680,43.0740966796875,24.04575081758721,232.014444244,10142.22,0.8667461993003025,34610D,219.64607,-13.200762,-14.039553,238.52822032561457,63260.52340106085,0.3468502326148491,0.5767841941706433,34.6070516502386,36173.87479681284,-24.709139504645087,2023-05-05 11:22:00,3.7844395407600575e-05,0.2586533882047676,0.6206080637653287,0.2883920970853216,0.4046881231187071,0.0116460721600392,0.001479268124768,0.0003287262499484,3.3228976417576913e-05,454274664840450.3,109.32367616310373,42.80892289134515,0.0415284619802863,0.0008475196322507,0.0006921410330047,0.4030362207648849,0.0511931083984008,0.0113762463107557,0.0011499569031676,1.572110678952829e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8028516017531189,18.08693739840642,11.646072160039274,33.22897641757692,454274664840450.3,8.65725976756367,650.373920767796,1299.40062696813,0.00378443954076,0.018287634390411,0.318556894076556,18.0864494592445,17.4192510237185,17.41859182764193,0.00378443954076,0.4133902307425846,11.428709515477555,578245628564840.0,11.157020331503317
142,143,407463.0,BAW680,43.01513671875,24.19777093931686,234.07222202,10134.6,0.8658608692503004,34610D,219.68307,-13.867926,-14.005529,239.36843903824308,63225.91634941061,0.3477644624240597,0.6032402649507742,36.19441589704645,37799.67731869165,24.70546641585157,2023-05-05 11:23:00,3.6299733192146494e-05,0.2589565316756602,0.5931717908027828,0.3016201324753871,0.4234013995347316,0.0120636626498576,0.0014783232376908,0.0003285162750424,3.558946763544894e-05,449652871841527.9,114.33815981876974,44.77249246464647,0.0434332990764557,0.0008863938587031,0.0007238883179409,0.4366372231906129,0.0535070460952525,0.0118904546878338,0.0012881399931519,1.6274923052733588e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8056117185344386,18.899838659345825,12.06366264985764,35.58946763544894,449652871841527.9,8.9352673585142,655.948360183853,1313.06691859924,0.00362997331921,0.0185677832386704,0.331894365438715,18.8994537351237,17.8747436445451,17.87409481967209,0.0036299733192146,0.4319500087799016,11.866153318028779,593079686918145.0,12.304312009849744
143,144,407463.0,BAW680,42.95584468518273,24.349822998046875,237.158888684,10142.22,0.864941127296426,34610D,219.58076,-14.032084,-13.728467,240.93204817122688,63189.72193351356,0.3484371682197217,0.6016295337002292,36.09777202201375,37526.53868664076,24.698222905170287,2023-05-05 11:24:00,3.4093903019322974e-05,0.2586533882047676,0.5637782744190009,0.3008147668501146,0.4227625695688294,0.0120521844717138,0.0014778169558053,0.0003284037679567,3.549369784936044e-05,452669052838291.2,114.03286181754144,44.65294399123101,0.0433173264264164,0.0008840270699268,0.0007219554404402,0.4350570074271799,0.0533458995609282,0.0118546443468729,0.0012812434131844,1.6340344270777532e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8110630901537639,18.763269343320378,12.052184471713828,35.493697849360444,452669052838291.2,8.92477823893122,655.602375321086,1310.85637750498,0.00340939030193,0.0185076341183811,0.330592626347171,18.7628182368071,17.8625006433879,17.861891661785844,0.0034093903019322,0.43073842386734545,11.842028023065621,589214554067518.8,12.170556323953154
144,145,407463.0,BAW680,42.89546643273305,24.503893171037944,237.158888684,10149.84,0.8639854737104685,34610D,219.45644,-13.819393,-13.245,241.80610027879155,63153.62416149155,0.3484293237982987,0.5849535173910243,35.097211043461456,36353.66994772199,-24.68966132715815,2023-05-05 11:25:00,3.182674542995901e-05,0.2583505321500915,0.5340781693963865,0.2924767586955121,0.4110652561515933,0.0117985360087158,0.0014768212445147,0.000328182498781,3.4034118974684915e-05,458445988330170.9,110.87208968629471,43.41525006076183,0.0421166532521537,0.0008595235357582,0.0007019442208692,0.4140957083017787,0.0518323068922019,0.0115182904204893,0.0011945026563327,1.6090175604452276e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8142359973425138,18.176834973860995,11.798536008715825,34.034118974684915,458445988330170.9,8.73720995596825,651.481997976461,1298.54604671559,0.003182674543,0.0182315888785564,0.320215144655338,18.1768318735115,17.5637541405932,17.563195161251866,0.0031826745429959,0.41701125968328523,11.528545203491687,573965790227438.4,11.242923173395573
145,146,407463.0,BAW680,42.83537292480469,24.65645013853561,234.586666464,10142.22,0.8629959130802253,34610D,219.42859,-13.198204,-12.548798,241.8941035143336,63118.52695044809,0.3483878907721874,0.5831888943722999,34.99133366233799,36226.507987659534,0.0,2023-05-05 11:26:00,2.981607855318768e-05,0.2586533882047676,0.5027076818652396,0.2915944471861499,0.4091944186795836,0.0117670201861389,0.0014744400373611,0.0003276533416358,3.3875412272825955e-05,460120105288255.5,110.53762303932572,43.2842797403121,0.0419896003948055,0.0008569306203021,0.0006998266732467,0.4117437295446559,0.0515926233124149,0.0114650274027588,0.0011853458537877,1.6100216128891436e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.814583979555378,18.113253993829765,11.76702018613899,33.875412272825955,460120105288255.5,8.7351992972529,651.293594629963,1299.5149462741,0.00298160785532,0.0182667728820688,0.320987282708613,18.1137331368359,17.5721943214011,17.57167040309605,0.0029816078553187,0.4164499223046959,11.517394933438656,577785857280416.0,11.291654870198583
146,147,407463.0,BAW680,42.77618408203125,24.80625499378551,235.101110908,10142.22,0.8619728993722375,34610D,219.34233,-12.309141,-11.715231,241.5237298784655,63083.53561678575,0.3476025379565893,0.566932250729074,34.01593504374444,35191.17380969819,24.6692780073791,2023-05-05 11:27:00,2.782921720498428e-05,0.2586533882047676,0.4744075794725622,0.283466125364537,0.3970535120341197,0.0115045968819715,0.0014725282175468,0.0003272284927881,3.244980536581552e-05,463951063159434.3,107.45633880318869,42.07771164911188,0.0408191220524933,0.0008330433071937,0.0006803187008748,0.3913396202416102,0.0500894241981534,0.0111309831551452,0.0011038104715057,1.578172922790749e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8134966683209736,17.595586904849096,11.504596881971583,32.44980536581552,463951063159434.3,8.55904540260795,647.424349884541,1291.15444096479,0.0027829217205,0.0181081039325213,0.312982294327036,17.5951015770325,17.2841008364732,17.283619846862397,0.0027829217204984,0.4035206994463536,11.225298575590974,571085960911284.0,10.54649133840676
147,148,407463.0,BAW680,42.71507263183594,24.959938742897727,237.673333128,10149.84,0.8609126943013704,34610D,219.18034,-10.841887,-10.450685,239.98926838724643,63049.51968174201,0.345356159768779,0.5369674979940939,32.21804987964563,33327.50805168058,24.654900308137123,2023-05-05 11:28:00,2.6178484786290805e-05,0.2583505321500915,0.4550755267863418,0.2684837489970469,0.3748601299822862,0.0110123542655146,0.0014706989167469,0.0003268219814993,2.9893280336251385e-05,468070870940548.8,101.77681956980057,39.85372770112165,0.0386616598555747,0.0007890134664403,0.0006443609975929,0.3547965790186808,0.0473830510576936,0.0105295669017097,0.0009631031969395,1.5080330667171774e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.8086269601378714,16.66375402584029,11.012354265514697,29.893280336251387,468070870940548.8,8.22434269557883,640.047563516081,1274.36664988002,0.00261784847863,0.0177805717426658,0.297471638718188,16.6632898775357,16.7301503586852,16.729712400163653,0.002617848478629,0.3799861712479733,10.710875784264799,551641109849969.0,9.002322631289154
148,149,407463.0,BAW680,42.6536275572696,25.11340473973474,238.702222016,10157.46,0.8598184081476894,34610D,218.98906,-8.85481,-8.77063,237.15391113553912,63017.30163186236,0.3413085650266949,0.4996164544612315,29.97698726767389,31012.236460260094,-49.27596395001755,2023-05-05 11:29:00,2.543111246761865e-05,0.2580479633031101,0.4525181216386417,0.2498082272306157,0.3470087486529825,0.0103843922843083,0.0014682215538341,0.0003262714564075,2.6854396974244472e-05,471040655319810.7,94.6973027785818,37.08153325011261,0.0359723847212086,0.0007341303004328,0.0005995397453534,0.311292795289243,0.0440128588254095,0.0097806352945354,0.0008050139161779,1.4120379727078732e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7994223710936743,15.506118230130047,10.38439228430837,26.85439697424448,471040655319810.8,7.81038097257764,630.296939755329,1248.02833135325,0.00254311124676,0.0172227943224566,0.276652567631312,15.5066078882355,16.0631638775705,16.062755383831792,0.0025431112467618,0.3493189616521126,10.100971259826181,518035943463958.4,6.775305609244145
149,150,407463.0,BAW680,42.592551021252646,25.26510549146076,233.557777576,10142.22,0.858691115363952,34610D,218.92848,-6.603231,-6.807329,233.7406984337631,62987.324644594686,0.3370468460463456,0.4715334238882573,28.29200543329544,29325.665106347456,-49.238241798686914,2023-05-05 11:30:00,2.5267494566079947e-05,0.2586533882047676,0.4541761939975807,0.2357667119441286,0.3252149148355243,0.0098938052258764,0.0014633796657178,0.0003251954812706,2.466953970386424e-05,472538958203891.6,89.3744451637803,34.99721072098646,0.0339504065199545,0.0006928654391827,0.0005658401086659,0.2799155912064635,0.0414019454534641,0.009200432322992,0.0006979507513386,1.3369074772948268e+16,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7880257209016174,14.662832553173727,9.893805225876456,24.66953970386424,472538958203891.6,7.50384710750493,622.438762581159,1224.6406050983,0.00252674945661,0.016710839229312,0.260470015190446,14.6625158136108,15.5868901385613,15.586496306850565,0.0025267494566079,0.3253125754451476,9.61615466078913,495457426606045.6,5.008577337560893
150,151,407463.0,BAW680,42.53169250488281,25.41574651544744,236.64444424,10126.98,0.8575295292755474,34610D,218.8489,-4.3471627,-4.835991,229.3461757358958,62959.03263916139,0.2889595868200897,0.277192111358984,16.63152668153904,15062.807622052762,-934.7263175312688,2023-05-05 11:31:00,2.5358152000940385e-05,0.2592599627713964,0.4615636784789843,0.138596055679492,0.1895969747735242,0.0064003648354509,0.0091031167986203,0.0019037358516727,1.2370698973861463e-05,491776628950866.56,52.53899278698182,20.5731985050638,0.0199578320178468,0.0004073026942417,0.0003326305336307,0.1064478385323862,0.1513987299214207,0.031662033611698,0.000205743610053,8178996125753661.0,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7733507660546549,7.531403811026381,6.40036483545092,12.370698973861463,491776628950866.56,5.14498239834386,558.755624763299,1041.49694513583,0.00253581520009,0.0128973159609164,0.150553712755459,7.53153900615446,11.6732592433722,11.672963238596097,0.002535815200094,0.1788771031234416,7.08558127163189,480909485497277.06,3.240013862928978
151,152,407463.0,BAW680,42.47128244173729,25.56467455486919,226.869999804,9837.42,0.8563349941321685,34610D,220.50336,-0.46313393,-1.8601638,223.5448303222045,62942.40111247985,0.2842597303576074,0.276411021063299,16.584661263797944,15159.522510878338,-860.6529090899091,2023-05-05 11:32:00,3.190822886365543e-05,0.2710055462966473,0.4917154598917473,0.1382055105316495,0.1848532607738471,0.0063312592567686,0.0094473002308578,0.0019707975232804,1.238019962602319e-05,510693551021284.2,52.3909449323377,20.515225983318057,0.0199015935165575,0.0004061549697256,0.0003316932252759,0.1050017901467928,0.1566802741861774,0.0326850093431383,0.0002053214171757,8469679553294110.0,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7509555436291023,7.579761255439169,6.33125925676863,12.380199626023192,510693551021284.2,5.19221328699487,557.296488866867,1034.05390760869,0.00319082288637,0.0127190580564194,0.15036328904706,7.58006274039994,11.8218887263566,11.821511522861414,0.0031908228863655,0.17627191931116715,7.07671081760668,482652961304616.75,3.2539459422376247
152,153,407463.0,BAW680,42.41290283203125,25.707321166992188,222.239999808,9570.72,0.8551160490918458,34610D,222.26282,2.426669,-0.72041667,217.6257919412472,62925.81645121605,0.2766560716115949,0.2655408356594165,15.932450139564994,14559.30409669059,-910.736725006314,2023-05-05 11:33:00,4.0445953895841584e-05,0.2822015301166464,0.5204715104370836,0.1327704178297082,0.1745866263652168,0.0060844282434957,0.0105933747104179,0.0021974951820804,1.1845825701944758e-05,526432096959401.94,50.33060999088581,19.708440822641897,0.0191189401674779,0.0003901824523975,0.0003186490027912,0.0969398496172564,0.168778414383463,0.0350114824204305,0.0001887330273582,8387353136672317.0,descent,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7281723228844309,7.279652048345295,6.084428243495713,11.845825701944756,526432096959401.94,5.1149408076819,552.869018220812,1015.08632730077,0.00404459538958,0.0122847300109115,0.14447484829252,7.27995782212926,11.7605228738601,11.760047227532125,0.0040445953895841,0.1685303001805489,6.962973474921906,469848117823676.06,3.173807359518165
