Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
207,207,125.18506967183222,28.213603641611023,9806.94,885974.0,,165.5667758132459,0.7106169184968361,34610D,237.02266,63.14745,14.359713,225.8650684134421,63454.463629999125,0.3335279806949754,0.5197291697201786,31.18375018321072,33100.89639817515,0.0,2023-02-06 04:27:00,3.085628603066975e-05,0.2722665727451254,0.0683696610443435,0.2598645848600893,0.4526821891024544,0.0114972822487177,0.001804863411411,0.0004010807580913,3.010361179055286e-05,462406846800753.94,98.50946682876264,38.57429897663166,0.0374205002198528,0.0007636836779561,0.0006236750036642,0.3585283774298766,0.0562824097362598,0.0125072021636132,0.0009387435096889,1.44195795936409e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7318319287736922,16.550448199087576,11.497282248717724,30.103611790552858,462406846800753.94,7.88621596828353,671.579245084644,1337.54921459823,0.00308562860307,0.0189227646678311,0.295485363616739,16.5499650128236,15.6153378644013,15.614856047936756,0.0030856286030669,0.49076860234844716,12.360048204852797,455682741227257.6,11.216337129388283
208,208,125.10865060997264,28.15379994337328,9806.94,885974.0,,165.62581042157376,0.7109562548467122,34610D,237.16733,62.95734,14.190616,225.61121392201537,63423.27987981592,0.3333521160229276,0.5188782070374808,31.132692422248848,33066.43865513603,0.0,2023-02-06 04:28:00,2.968819126567158e-05,0.2722665727451254,0.0647481047702176,0.2594391035187404,0.4528515642469614,0.0114892840343777,0.0018085011646539,0.0004018891477008,3.00426020834272e-05,462004720670537.2,98.3481753618841,38.511140526321824,0.0373592309066986,0.0007624332838101,0.0006226538484449,0.3576923459941382,0.0563035105044495,0.012511891223211,0.0009353070902273,1.4383450866262828e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7307864106548227,16.533219327568016,11.489284034377794,30.042602083427195,462004720670537.2,7.87533572118103,671.712278752178,1337.8398014008,0.00296881912657,0.0189283701073539,0.295101637110582,16.5335523670258,15.5904409855094,15.589978147256335,0.0029688191265671,0.49129851290500753,12.36344103581809,454629555509747.0,11.204321557339984
209,209,125.03223154811305,28.093996245135536,9806.94,885974.0,,165.68484502990165,0.7112866801051532,34610D,237.30428,62.799465,13.998487,225.36173881445583,63392.14718739367,0.3331780475068281,0.5180164664734112,31.08098798840467,33030.80949659534,0.0,2023-02-06 04:29:00,2.8635703424100942e-05,0.2722665727451254,0.0615248070056747,0.2590082332367056,0.4529575264809367,0.0114806473128234,0.0018119497440704,0.0004026554986823,2.9979548338209537e-05,461626131156881.6,98.18484105537034,38.447182141656576,0.0372971855860856,0.0007611670527772,0.000621619759768,0.3568298612289771,0.0563171882310477,0.0125149307180106,0.0009317939817976,1.4347796237620756e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.729767682598922,16.515404748297673,11.480647312823486,29.979548338209536,461626131156881.6,7.86338096802369,671.797066687316,1338.05121473097,0.00286357034241,0.0189327641708705,0.294743294031012,16.5152893713199,15.5678954943355,15.567449709462553,0.00286357034241,0.49163803518189064,12.363272931585398,453618725524125.4,11.188285026195345
210,210,124.95581248625344,28.034192546897792,9806.94,885974.0,,165.74387963822952,0.711608185423358,34610D,237.43292,62.650093,13.79802,225.11459834356384,63361.066199405264,0.3327340343105062,0.5141286184322048,30.84771710593229,32775.15873524482,0.0,2023-02-06 04:30:00,2.762519612435321e-05,0.2722665727451254,0.0585257609272183,0.2570643092161024,0.4503536383652979,0.0114196913670576,0.0018151933680955,0.0004033763040212,2.96423120165756e-05,462168474644423.5,97.4479383376401,38.158626060038245,0.0370172605271187,0.0007554542964718,0.0006169543421186,0.3522714087280516,0.0559945715115774,0.0124432381136838,0.0009143976554531,1.4256842361111416e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7287698437779585,16.387579367622408,11.419691367057652,29.64231201657559,462168474644423.5,7.81893906708676,671.065150351219,1336.0154328578,0.00276251961244,0.0188880062192776,0.292697341203538,16.3871702460895,15.4964657362726,15.496037655193224,0.0027625196124353,0.48873036102496176,12.297243180571458,450453547827482.75,11.034338505128312
211,211,124.87939342439384,27.97438884866005,9806.94,885974.0,,165.80291424655738,0.7119207620833528,34610D,237.5469,62.459324,13.607209,224.66074136696523,63330.21848229933,0.3325987230330348,0.5142470643492211,30.854823860953264,32835.578268525765,0.0,2023-02-06 04:31:00,2.667425286865942e-05,0.2722665727451254,0.0558127785269663,0.2571235321746105,0.4510637861226039,0.0114247387533841,0.0018180707368361,0.0004040157192969,2.9658595148942576e-05,461166598301835.4,97.47038857675136,38.16741711599919,0.0370257886331439,0.0007556283394519,0.000617096477219,0.3525083018930749,0.0560962523518339,0.0124658338559631,0.0009151107292839,1.4229214161158122e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7271260683753829,16.417789134262883,11.424738753384156,29.65859514894257,461166598301835.5,7.81913275868171,671.392365738162,1336.96869315481,0.00266742528687,0.01890934624745,0.292863240695717,16.4177889963233,15.4877507060938,15.487337592934583,0.0026674252868659,0.4900276781923721,12.317796999061947,450415258991274.1,11.067365070532876
212,212,124.8036836424515,27.91422666422212,9806.94,885974.0,,165.86194885488524,0.7122269763768032,34610D,237.65385,62.228077,13.406698,224.31601568430108,63299.36365843838,0.3324120417028711,0.5134669887187366,30.8080193231242,32817.72346808757,0.0,2023-02-06 04:32:00,2.5735826209444268e-05,0.2722665727451254,0.0532253335542333,0.2567334943593683,0.4509829077501256,0.0114148808327148,0.0018207732786278,0.0004046162841395,2.959587430287844e-05,460640665770012.4,97.32253304174934,38.10951990270464,0.036969623187749,0.0007544821058724,0.0006161603864624,0.3516698692654401,0.0560944183509953,0.0124654263002211,0.0009117902674078,1.4191426532059338e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7258469572511677,16.408861734043786,11.41488083271488,29.59587430287844,460640665770012.4,7.81002132665772,671.458538086647,1336.96261598894,0.00257358262094,0.0189073760655918,0.292422947081163,16.4092806561147,15.4660776866508,15.46567966460674,0.0025735826209444,0.4902900329810618,12.317810006290834,449322437831828.1,11.047342745985347
213,213,124.72808826049445,27.85400665943001,9806.94,885974.0,,165.9209834632131,0.7125245768701718,34610D,237.7594,62.00829,13.1824,223.99632184378328,63268.55563911526,0.3321802645137153,0.5121163962679257,30.726983776075546,32755.26206541655,0.0,2023-02-06 04:33:00,2.4808576876464827e-05,0.2722665727451254,0.0507213911643371,0.2560581981339628,0.4503999893167845,0.0113953441291898,0.0018234430275569,0.0004052095616793,2.948237865575749e-05,460333686220731.8,97.06654174862264,38.00927893100545,0.0368723805312906,0.000752497561863,0.0006145396755215,0.3501445541804157,0.0560289043243391,0.0124508676276309,0.0009059045706355,1.4144665708085476e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7246516199443799,16.377631032708276,11.3953441291899,29.48237865575749,460333686220731.8,7.79244541973774,671.335792933999,1337.05546428905,0.00248085768765,0.0189135535007679,0.2919421289048,16.3774254553468,15.4356043613353,15.435221435457716,0.0024808576876464,0.48980338290254816,12.302104123464144,448818708694793.94,11.022297078321012
214,214,124.6524928785374,27.7937866546379,9806.94,885974.0,,165.980018071541,0.7128131335731489,34610D,237.86267,61.772182,12.947062,223.6567762585329,63237.82865533918,0.3320399335672895,0.5118245027790149,30.709470166740896,32772.44089341217,0.0,2023-02-06 04:34:00,2.389893522698469e-05,0.2722665727451254,0.0483157438499315,0.2559122513895074,0.450722807626506,0.0113936758193089,0.0018260580533964,0.0004057906785325,2.946322299252689e-05,459681009961044.94,97.01121625673449,37.98761459625849,0.036851364200089,0.0007520686571446,0.0006141894033348,0.3498937476625853,0.0560772753135147,0.0124616167363366,0.000904799967505,1.4116560261616034e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7233960322346197,16.386220446706083,11.393675819308948,29.46322299252689,459681009961044.94,7.78908569573082,671.530028074883,1337.30850087015,0.0023898935227,0.0189163496780826,0.291731977806305,16.3866678774626,15.4222132055594,15.42184463989327,0.0023898935226984,0.4905734707188255,12.312755538320623,447940724540889.6,11.02071880509386
215,215,124.57689749658034,27.73356664984579,9806.94,885974.0,,166.03905267986886,0.7130926381498923,34610D,237.95198,61.53396,12.709414,223.3739544209186,63207.11918517244,0.331826353914589,0.5105315143765589,30.631890862593533,32709.985845275733,0.0,2023-02-06 04:35:00,2.3177814465171367e-05,0.2722665727451254,0.0464051802630388,0.2552657571882794,0.4500892441784215,0.0113744243472977,0.0018283215807396,0.0004062936846088,2.935354474462803e-05,459447705341076.8,96.76614323493295,37.891648997028206,0.0367582690351122,0.0007501687558186,0.0006126378172518,0.3484201252312505,0.0560049471229406,0.0124455438050979,0.0008991545790477,1.4073751967076896e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7223456600858149,16.354992922637866,11.374424347297724,29.353544744628028,459447705341076.8,7.77311032228101,671.379940083348,1336.69811121348,0.00231778144652,0.0189010765693806,0.290960014453797,16.3545243340116,15.3938329060656,15.39347611893214,0.0023177814465171,0.4899784139586294,12.296049900979057,446401445108385.56,10.967464782217734
216,216,124.50130211462329,27.67334664505368,9806.94,885974.0,,166.09808728819672,0.71336308239898,34610D,238.03111,61.246445,12.485143,223.0670811704242,63176.487294309845,0.3316052983099269,0.5092094324642805,30.55256594785683,32648.397872877995,0.0,2023-02-06 04:36:00,2.2614243966657285e-05,0.2722665727451254,0.0448893184788428,0.2546047162321402,0.4493468908041851,0.0113538370742956,0.0018303287088881,0.0004067397130862,2.9239243670488683e-05,459195683587556.1,96.51555582927972,37.7935240774989,0.0366630791374281,0.0007482261048454,0.0006110513189571,0.3468888559736399,0.0559212385845595,0.0124269419076799,0.000893333920508,1.4029606405780008e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.721233433059576,16.324198936438997,11.353837074295654,29.239243670488683,459195683587556.1,7.7570625511274,671.224726615506,1336.84900412255,0.00226142439667,0.0189099552610674,0.29058796917907,16.3240600695888,15.3669305488704,15.36658304521248,0.0022614243966657,0.48936303612347976,12.278973319404932,446302890243015.25,10.949098826848147
217,217,124.42570673266624,27.61312664026157,9806.94,885974.0,,166.1571218965246,0.713624458253592,34610D,238.12854,60.94919,12.244271,222.7382436667509,63145.93472836199,0.3313386782310017,0.5075131687919693,30.45079012751816,32561.47864877528,0.0,2023-02-06 04:37:00,2.199656323013405e-05,0.2722665727451254,0.0432039370839109,0.2537565843959846,0.4483905575885341,0.0113276683764517,0.0018328023155075,0.0004072894034461,2.9093943095953427e-05,458993840270716.06,96.19404601282986,37.66762738773996,0.0365409481530217,0.0007457336357759,0.0006090158025503,0.3449364523654569,0.0558102786547492,0.0124022841454998,0.0008859335551968,1.3976725099907166e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7200227971104028,16.28073932438764,11.32766837645176,29.093943095953428,458993840270716.06,7.73762749894065,671.001657020188,1336.07872972573,0.00219965632301,0.0188915857584906,0.289610347328018,16.2803038098667,15.330123740293,15.32978653767412,0.0021996563230134,0.4884786277885385,12.256142482088945,444605348058870.1,10.884554274565415
218,218,124.35011135070918,27.55290663546946,9806.94,885974.0,,166.21615650485245,0.713876757781658,34610D,238.21843,60.68189,11.9919405,222.36495475707443,63115.48393823447,0.3311333541462229,0.5065866212673332,30.39519727604,32536.419582187435,0.0,2023-02-06 04:38:00,2.1418850409874228e-05,0.2722665727451254,0.0416610909005514,0.2532933106336666,0.4480412736362262,0.011313935245972,0.0018350865433452,0.0004077970096322,2.901530950648733e-05,458496858712337.75,96.01842819501032,37.59885903046148,0.0364742367312479,0.0007443721781887,0.0006079039455207,0.3438892937696633,0.0557778175035855,0.0123950705563523,0.000881926056475,1.3936102471006142e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7186805467588421,16.268209791093717,11.313935245972075,29.01530950648733,458496858712337.75,7.72538687925914,670.97004642634,1336.41155916638,0.00214188504099,0.018902912178488,0.289370353646581,16.2679070911297,15.3082419742653,15.307914096343184,0.0021418850409874,0.4883533006562965,12.248514247856182,444447689336000.44,10.877443994298986
219,219,124.27451596875213,27.49268663067735,9806.94,885974.0,,166.2751911131803,0.7141199731860056,34610D,238.29709,60.434883,11.740061,222.0086482088377,63085.088740958425,0.3308636916468064,0.5049083075170395,30.29449845102237,32454.22130182081,0.0,2023-02-06 04:39:00,2.091029043658815e-05,0.2722665727451254,0.0403266341123427,0.2524541537585197,0.4469544506195901,0.0112867119944629,0.0018370869079658,0.0004082415351035,2.8868575498794065e-05,458270002319582.1,95.70032060677966,37.47429458391468,0.0363533981412268,0.0007419060845148,0.0006058899690204,0.3419252790333941,0.0556536264877641,0.0123674725528364,0.0008745590157314,1.3883059875420598e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7174105166702853,16.227110650910404,11.286711994462973,28.868575498794065,458270002319582.1,7.70585366094238,670.706955236501,1335.76564685188,0.00209102904366,0.0188895330482346,0.288528666976094,16.2267090082134,15.2745261748574,15.2742067867573,0.0020910290436588,0.4873102179322191,12.223203429569866,443195423573359.2,10.819752633262839
220,220,124.19892058679508,27.43246662588524,9806.94,885974.0,,166.3342257215082,0.7143540968045393,34610D,238.35626,60.120144,11.543557,221.61296477568823,63054.79424250741,0.330375000336773,0.5010493173056514,30.062959038339084,32216.024406241588,0.0,2023-02-06 04:40:00,2.0587472365214826e-05,0.2722665727451254,0.0394504334651117,0.2505246586528257,0.443783009785483,0.0112203375490654,0.0018385925102714,0.0004085761133936,2.8525240767656763e-05,458649142088170.4,94.96888760211316,37.18788033042545,0.0360755508460068,0.0007362357315511,0.0006012591807667,0.337316548133893,0.0552735313244869,0.0122830069609971,0.0008575531447568,1.378835037156603e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7160429819991475,16.108012203120794,11.220337549065466,28.525240767656765,458649142088170.4,7.66442291567947,669.813839688861,1332.85528040191,0.00205874723652,0.0188215491421162,0.286164708540397,16.1083894605542,15.2040996402394,15.203786632702254,0.0020587472365214,0.48377335957321554,12.1491403418026,439556433309337.1,10.63909845599758
221,221,124.1233785455574,27.372219827741663,9806.94,885974.0,,166.39326032983607,0.7145792864903708,34610D,238.40993,59.809364,11.328546,221.0314144251438,63024.73128346907,0.3303102007191191,0.5020544179952339,30.12326507971403,32359.23413404437,0.0,2023-02-06 04:41:00,2.026560294359689e-05,0.2722665727451254,0.038608675158769,0.2510272089976169,0.4448043529740209,0.0112361525423223,0.0018399587429108,0.0004088797206468,2.860752275634573e-05,457269066865289.25,95.1593943868166,37.26247890360626,0.0361479180956568,0.000737712614197,0.0006024653015942,0.33846960150848,0.0554255649484407,0.0123167922107646,0.0008617519912633,1.3774437313936588e+16,cruise,0,GTF2000,0,43031,1.237,3.16,3.16,0,0.7140835528304075,16.179617067022185,11.236152542322388,28.607522756345737,457269066865289.25,7.67441168192926,670.242630653591,1334.58173533999,0.00202656029436,0.0188645468963339,0.286978688122745,16.1799891755679,15.2125937452819,15.21228545914492,0.0020265602943596,0.48546930128619126,12.180058696636229,441139136901071.56,10.72176030283416
