Unnamed: 0,index,icao24,callsign,latitude,longitude,groundspeed,altitude,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,W3_no_water_injection,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
135,137,3c49c8,EWG1VT,65.6655625165519,13.769929305366848,216.581110924,10873.74,0.646616536820465,34610D,224.03693,26.123573,27.882097,179.95056863869158,62472.436515846624,0.3165831442546827,0.4395705374821879,26.37423224893127,33353.59098960017,-51.522446601413584,2023-08-06 10:17:00,2.038852563072637e-05,0.230859441803996,0.1724024106510765,0.2197852687410939,0.4979452973592644,0.0107363507702605,0.0006211913533676,0.0001241751246179,2.4941842321531363e-05,1535987251231824.2,83.31619967437388,32.62492529192799,0.0316490786987175,0.0006458995652799,0.0005274846449786,0.2831630087208428,0.0163834450247453,0.0032750235762136,0.0006578219421042,4.051048449538568e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.809552957729175,1.1712737183887332,0.5997229149644161,16.676795494800086,10.73635077026051,24.94184232153136,1535987251231824.2,11.4111859543688,762.412190596221,1301.96989395159,0.00203885256307,0.0236543553359183,0.183957532584767,16.6765595826506,7.77689900960584,7.776740453333784,15.063281096884392,0.5517997099738118,0.9804303436525174,379852517523007.3,4.990418265408875,4.803206516278412,447952828492931.8
136,138,3c49c8,EWG1VT,65.77445983886719,13.871726989746094,216.581110924,10858.5,0.6457829463454975,34610D,224.25003,26.047083,27.233013,181.3442887053382,62446.06228359769,0.3173271481150644,0.4431595949524061,26.58957569714437,33445.9057176695,0.0,2023-08-06 10:18:00,1.9503550734984272e-05,0.2314126848577999,0.1610578113241886,0.221579797476203,0.5031510755784037,0.0107827316264299,0.0006216239010891,0.0001244594794803,2.5078763138415256e-05,1542449948698982.8,83.99646962727905,32.89130513736759,0.0319074908365732,0.000651173282379,0.0005317915139428,0.2867082588029514,0.0165287157731635,0.0033093247508697,0.0006668336708596,4.101308966998805e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.620706338159564,1.1429573198912315,0.6040805525122428,16.72295285883475,10.782731626429936,25.07876313841525,1542449948698982.8,11.4681332988946,763.29778154825,1311.80822107725,0.0019503550735,0.0237827646363283,0.186079181477939,16.7229000247972,7.82411903423967,7.823966439113277,14.610363220668148,0.5546712004652143,1.0386432327778994,385978966521426.7,5.091614231732676,4.877078582987073,451766802841425.5
137,139,3c49c8,EWG1VT,65.88305457163665,13.973892875339674,216.06666648,10858.5,0.6449323888080795,34610D,224.50569,25.74254,26.589697,182.1178972971048,62419.47270790055,0.3176925498186311,0.4451025923777049,26.70615554266229,33488.36810788663,0.0,2023-08-06 10:19:00,1.8473428706470423e-05,0.2314126848577999,0.1478605573679725,0.2225512961888524,0.5078242504958421,0.0108071902995448,0.0006239657135731,0.0001251051846859,2.52081779031866e-05,1548558358592635.5,84.36474535927019,33.03551440627326,0.0320473866511947,0.0006540282990039,0.0005341231108532,0.2886185051187968,0.0166637253999719,0.0033410785214177,0.0006732135200296,4.135604039146474e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.70020124340128,1.1548879373914964,0.6063120060723797,16.744184053943314,10.807190299544883,25.208177903186595,1548558358592635.5,11.5042377317369,764.791301873925,1311.68287810679,0.00184734287065,0.0238075053004764,0.186584543716211,16.7435088258697,7.83721525465658,7.837070477093853,14.738067219506904,0.5595159365251443,1.0270395887679746,385921215505637.7,5.125164097445559,4.901279492686767,452940055523365.7
138,140,3c49c8,EWG1VT,65.99091610666048,14.07647174337636,216.06666648,10858.5,0.6440706133566767,34610D,224.75674,25.436018,25.927568,182.9997483820109,62392.76655235788,0.318407001821676,0.4290157253701596,25.740943522209577,32194.729927380264,-51.66617337599616,2023-08-06 10:20:00,1.7338512501643075e-05,0.2314126848577999,0.1345947308059376,0.2145078626850798,0.4918638387269368,0.01063485099173,0.0006262712113317,0.0001249554263954,2.4118477258952422e-05,1497124210347487.5,81.31564058666005,31.841547136973247,0.0308891322266514,0.0006303904536051,0.0005148188704441,0.2737510987452374,0.0161208118804754,0.003216470573639,0.0006208323609643,3.853738974428729e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.896246500646069,1.184300065928243,0.608907508245485,16.097364963690133,10.63485099173004,24.11847725895242,1497124210347487.5,11.218972023969,762.466140431664,1292.94841552602,0.00173385125016,0.0235187193322748,0.179689834731464,16.0975530866478,7.64028994065483,7.640157471688991,15.502724116394957,0.5519745444399412,0.9274676707212232,365843226897280.56,4.807569928329425,4.929583516242533,454312143410776.6
139,141,3c49c8,EWG1VT,66.09933471679688,14.180374145507812,217.095555368,10843.26,0.6431824663085568,34610D,224.98547,25.283339,25.462128,183.55569176760253,62367.02560883568,0.3186333542749884,0.4358318492318195,26.14991095390917,32630.35522642324,0.0,2023-08-06 10:21:00,1.6932043982916376e-05,0.2319670009896823,0.1281396694019224,0.2179159246159097,0.5006026814998408,0.0107139461875887,0.0006268452019764,0.0001254074038928,2.4513600224269583e-05,1515774115053626.2,82.60756870339908,32.34743984998565,0.031379893144691,0.0006404059825447,0.0005229982190781,0.2801687387704196,0.0163919462135691,0.0032793924447581,0.0006410284630243,3.963735813489281e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.503939762611753,1.1254639073536572,0.6104467829747467,16.31517761321162,10.713946187588716,24.513600224269585,1515774115053626.2,11.3231227853204,763.5967061572,1311.7370488008,0.00169320439829,0.0237453106103866,0.183542483475548,16.3150954985409,7.72963076740144,7.729499891169318,14.562323558238653,0.5556408630853235,1.0415077043328318,377384719548679.75,4.9850198586682755,4.973816400173209,456688750174408.06
140,142,3c49c8,EWG1VT,66.2078029826536,14.285450810971469,217.609999812,10843.26,0.6422742170942334,34610D,225.30882,24.88229,24.870556,183.75266234282932,62340.87569788177,0.3182715509169058,0.454473866544931,27.268431992695863,33950.99866904044,25.900832792464524,2023-08-06 10:22:00,1.596186359826106e-05,0.2319670009896823,0.1161502810722083,0.2272369332724655,0.5248996544673038,0.0109172958368306,0.000629823191135,0.000126920206505,2.579883204669624e-05,1576437384763383.8,86.14097666492623,33.73105037496479,0.032722118391235,0.000667798334515,0.0005453686398539,0.2976975390707574,0.0171742908548898,0.0034609150195805,0.0007034936971563,4.298697561716365e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.622356087760135,1.14323174615585,0.6106632308348083,16.97549933452022,10.917295836830618,25.79883204669624,1576437384763383.8,11.6593469189601,769.011261481613,1324.5527753303,0.00159618635983,0.0240466142513542,0.190621166287816,16.9747455507044,7.9271520013293,7.927025471229989,14.423547400028143,0.573343367416109,1.0816014092008197,395001488691852.9,5.341805680600579,4.976199232164127,456804247949353.25
141,143,3c49c8,EWG1VT,66.31687487586069,14.39208984375,217.609999812,10850.88,0.6413391863298006,34610D,225.66415,24.450974,24.299599,184.8151916109568,62313.60726588907,0.3191188989376892,0.4212154538040219,25.272927228241315,31368.851087640945,-51.86273934623862,2023-08-06 10:23:00,1.5113942775955236e-05,0.2316897086895457,0.1052273556494113,0.2106077269020109,0.4903609421293176,0.0105568493312741,0.0006338798933397,0.0001264143295752,2.3586029084525364e-05,1471992520758016.2,79.83717711401431,31.262610981334507,0.0303275126738895,0.0006189288300793,0.0005054585445648,0.2668024849088002,0.016020000415821,0.0031948601519629,0.0005960879966563,3.720155985763284e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.463333260814653,1.119387188730376,0.6137105177470501,15.68442554382047,10.556849331274174,23.586029084525364,1471992520758016.2,11.0295658154615,762.435402721111,1303.15051907115,0.0015113942776,0.0235940626053364,0.17769868240894,15.6850825820743,7.5314999956281,7.531386166688553,14.8644750500445,0.5518749331775445,0.9937338100341307,360455153121513.5,4.736089917903742,4.996126271555783,457653820790770.7
142,144,3c49c8,EWG1VT,66.42506227654926,14.498956853693182,218.124444256,10835.64,0.6403949196310983,34610D,225.89186,24.29484,23.907417,184.7203045534662,62288.33433866083,0.3190972960227966,0.4312253248011011,25.87351948806607,32128.62978489176,-25.951428537333506,2023-08-06 10:24:00,1.4887806065389146e-05,0.2322445619572094,0.1010853971745602,0.2156126624005505,0.5026606764194002,0.010669530871297,0.0006344432621568,0.0001270071790497,2.42307784464942e-05,1502424855032513.8,81.73444806280071,32.00554360673773,0.0310482233856792,0.0006336372119526,0.0005174703897613,0.2760583149270272,0.016415280107487,0.0032861227222676,0.0006269355183463,3.887301876603858e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,7.3717515362325265,1.1056529812276452,0.6130862107354678,16.06431489244588,10.669530871297066,24.2307784464942,1502424855032513.8,11.2153516502829,764.946121645438,1315.44176288737,0.00148878060654,0.0237973425134425,0.182132660690515,16.0641468335206,7.65348738362834,7.653373441688795,14.448098365930417,0.5600181465834507,1.0563810629646766,372228197879731.5,4.946704544910652,5.016707399394513,458883940163801.4
143,145,3c49c8,EWG1VT,66.53384399414062,14.607278575067935,216.581110924,10828.02,0.6394238636762557,34610D,226.16771,24.039785,23.458242,184.95471573228087,62262.46081917276,0.31898998762036,0.4183153856611399,25.0989231396684,31116.80077251557,-25.977138274355564,2023-08-06 10:25:00,1.4450436675953368e-05,0.2325223917912276,0.0950246263882652,0.2091576928305699,0.4893418129176323,0.0105277095983308,0.0006362271947932,0.0001268420681149,2.333897852503847e-05,1460331671360587.5,79.28749819821246,31.04736792376981,0.030118707767602,0.0006146675054612,0.0005019784627933,0.2642341740452564,0.0159686174614819,0.0031835993184943,0.0005857832281583,3.665275237790287e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,4.60337854167853,0.6904402604216675,0.6134897711771964,15.558400386257786,10.527709598330896,23.338978525038467,1460331671360587.5,10.7952428647363,755.877601032393,1401.62220783913,0.0014450436676,0.0243689567678969,0.184210768087528,15.5576674347979,7.55923898762061,7.559129754894761,9.135304136039794,0.5309679766698107,2.2707846844515465,391204073973354.6,4.978382685772989,5.034964092304739,459885125553343.7
144,146,3c49c8,EWG1VT,66.64031982421875,14.714189009232957,214.523333148,10820.4,0.6384605029516996,34610D,226.44263,23.820036,23.035442,184.2429218620389,62237.36189603309,0.3183670230853193,0.4111878163154315,24.67126897892589,30644.81191282221,-51.99752345159476,2023-08-06 10:26:00,1.4143354099885586e-05,0.2328004906909407,0.0900924932807164,0.2055939081577157,0.4823296117812545,0.0104455880526924,0.0006380045817769,0.0001269158339218,2.2876832656916147e-05,1438518268553442.0,77.93653870442688,30.51835972693133,0.029605522774711,0.000604194342341,0.0004934253795785,0.2577059124910313,0.0157403826468056,0.0031311746763697,0.0005644004918646,3.549007113458072e+16,cruise,15,GTF2035_wi,0,43031,1.237,3.16,3.16,5.012327289200505,0.7517782022603601,0.610757637523057,15.322405956411105,10.4455880526925,22.876832656916147,1438518268553442.0,10.6787032043216,755.538439079292,1381.30038770359,0.00141433540999,0.0241678184200882,0.180189351729219,15.3229987455364,7.45575577394468,7.455650326042074,10.084749381776776,0.5299091086458946,1.923257620687321,378180730359985.44,4.80430190616479,5.018452879415562,459201292654620.5
145,147,3c49c8,EWG1VT,66.74915895623676,14.824676513671877,216.581110924,10805.16,0.6374498330914035,34610D,226.699,23.606195,22.610405,183.4623396010262,62212.690627054166,0.267519896798801,0.2009933617377661,12.059601704265967,12640.676963049513,-981.3409497665436,2023-08-06 10:27:00,1.3902899288354372e-05,0.233357496484776,0.0860872982589019,0.100496680868883,0.2360503558456131,0.0071358682536021,0.0143031152833429,0.0001887930874132,7.068832227857868e-06,692376617789377.5,38.09628178377619,14.917727308177003,0.0144715220451191,0.0002953371845942,0.0002411920340853,0.0860557289525581,0.1724898734473156,0.0022767694387222,8.524730118224495e-05,8349786239886685.0,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,5.410094361545334,0.8114389382347511,0.6078260623086218,6.3203384815247565,7.1358682536021725,7.068832227857868,692376617789377.5,6.02997016978334,655.285536172556,1013.88760006566,0.00139028992884,0.0161249106963014,0.0739118303189342,6.3203914538984,4.58370478516121,4.583641059261189,17.704324000133937,0.25774691268325106,0.537313028868611,321024143243996.94,0.44853582075153847,4.152967718834758,3077455566008320.5
146,148,3c49c8,EWG1VT,66.85491943359375,14.935793669327444,214.008888704,10515.6,0.6364597221011434,34610D,225.45648,25.09954,23.320013,180.4451165322049,62200.6310253499,0.2716659343189078,0.2200492138185913,13.202952829115482,14288.588518581244,-968.0900243148802,2023-08-06 10:28:00,1.883925595361713e-05,0.2441473800496757,0.1417299925910037,0.1100246069092956,0.2414162335595024,0.0074881075272555,0.0129302949183277,0.0001689370972354,7.953508791747957e-06,734133577167987.2,41.70812798717581,16.332052649615854,0.0158435433949385,0.0003233376203048,0.0002640590565823,0.0988651304616992,0.1707180738732331,0.0022304685258878,0.0001050098014034,9692730989618746.0,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,5.643901784326022,0.8464789407386114,0.5994748614138383,7.144294259290622,7.48810752725552,7.953508791747956,734133577167987.2,6.55123738663291,653.473714850999,1020.52743707838,0.00188392559536,0.0161435856789231,0.0807611608374528,7.14360668349425,5.00267799506859,5.002583750112891,16.922718898513292,0.2534097389222912,0.5943145758459812,393901896217017.56,0.5486624277191552,4.269142286728901,3163543899652954.5
147,149,3c49c8,EWG1VT,66.96144104003906,15.049955948539402,214.523333148,10226.04,0.6354424216577261,34610D,224.42955,25.430958,22.605679,179.24994548461655,62187.42807252079,0.274563964090753,0.2372879384254987,14.237276305529925,15676.157763004663,-881.1116777689078,2023-08-06 10:29:00,2.559840220174004e-05,0.2553377336722945,0.228182109947688,0.1186439692127493,0.2444859892889057,0.0077885726383486,0.0119196278240708,0.0001548403110113,8.528905842031686e-06,761292464648423.0,44.97555584916903,17.611510789940517,0.0170847315666359,0.0003486679911558,0.0002847455261105,0.11088806067786,0.1697030347903797,0.0022045042911023,0.0001214283890568,1.083873116851747e+16,descent,15,GTF2035_wi,0,43031,1.237,3.16,3.16,5.828273286252069,0.8740917984540872,0.5968651511855644,7.838078881502333,7.788572638348659,8.528905842031687,761292464648423.0,7.04838834468741,652.054276947014,1025.33316108174,0.00255984022017,0.0160815588728211,0.0870256347327465,7.83838402426922,5.41151734237813,5.411378819726637,16.15540789564874,0.2500118603570995,0.657988688868251,460557337050168.2,0.6401316902654781,4.393350846596054,3255585627349383.0
