,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,time,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem
20,20,-72.14147394353694,40.90168063923464,10919.46,adbb36,NKS2975,211.951110928,0.4802506930866449,2023-02-06 15:20:00,34610D,218.69499,33.104504,45.406017,265.77007389099214,66506.39865576354,0.3422095946624257,0.7394184894375916,44.365109366255496,43824.851959276166,25.18203290298664,3.101881391503853e-05,0.2292061352197232,0.5091161996819297,0.3697092447187958,0.8412111644294459,0.0140640120501218,0.0005778601256212,0.0001251624295825,3.628235539e-05,1450000000000000.0,140.1493804880011,54.879640286058056,0.0532381312395065,0.0010864924742756,0.0008873021873251,0.6239514327319902,0.0256368276715857,0.0055528448769751,0.0016096706649426,6.432940858107047e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8964867494771149,21.912425979638083,14.06401205012183,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
21,21,-72.24676513671875,40.81732177734375,10927.08,adbb36,NKS2975,216.581110924,0.4821837130722192,2023-02-06 15:21:00,34610D,218.76476,32.051327,44.415764,266.5902417335481,66462.03354639729,0.3435585396977863,0.725422286434359,43.52533718606154,43157.901744682655,-25.192364178269465,2.985795864974237e-05,0.2289315186653853,0.4851072486115076,0.3627111432171795,0.8280598942339115,0.0139498775307233,0.0005791764406394,0.0001251454637757,3.628235539e-05,1450000000000000.0,137.4965401707684,53.84084209915813,0.0522304046232738,0.0010659266249647,0.0008705067437212,0.607173123228997,0.0252088498690569,0.0054469985081434,0.0015792017522542,6.311173891978923e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8991098517975246,21.578950872341327,13.94987753072334,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,,
22,22,-72.35101318359375,40.73323059082031,10919.46,adbb36,NKS2975,214.008888704,0.4841155803880428,2023-02-06 15:22:00,34610D,218.87447,30.980303,43.898346,267.0003441006569,66418.50820921123,0.3430425894496974,0.7316158199479054,43.89694919687432,43450.119982445445,0.0,2.914102124734061e-05,0.2292061352197232,0.467396303773919,0.3658079099739527,0.8360681804379679,0.0140070977849069,0.0005794265956374,0.0001253840195426,3.628235539e-05,1450000000000000.0,138.67046251292598,54.30052615653354,0.0526763390362491,0.0010750273272703,0.0008779389839374,0.6148688598597127,0.0254350598320166,0.005503975935964,0.0015926847112977,6.365057633546777e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.900267348791216,21.72505999122272,14.007097784906984,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
23,23,-72.4552001953125,40.64973449707031,10919.46,adbb36,NKS2975,214.008888704,0.4860364551048617,2023-02-06 15:23:00,34610D,218.97603,29.934694,43.00862,266.6579643416344,66374.61126001435,0.340805118797115,0.7530960122368401,45.185760734210405,44423.78380376924,75.66545629071791,2.791502722560436e-05,0.2292061352197232,0.4419371316740762,0.37654800611842,0.8617106942442047,0.0143490680792566,0.0005803142391584,0.0001258574542455,3.628235539e-05,1450000000000000.0,142.74181815937067,55.89478602821828,0.0542229128810524,0.0011065900587969,0.0009037152146842,0.6483735569881891,0.0262219403612703,0.0056869648141549,0.0016394458295261,6.551935306460509e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8989043397677412,22.211891901884616,14.349068079256694,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
24,24,-72.55901683460581,40.56552692995233,10942.32,adbb36,NKS2975,214.523333148,0.4879655776382064,2023-02-06 15:24:00,34610D,219.07492,28.75777,41.149376,263.53955007305655,66329.42549928014,0.3427016977275304,0.7326568916614998,43.95941349968999,43448.81415699476,0.0,2.544815840165495e-05,0.2283830848108751,0.3963799501674506,0.3663284458307499,0.839568897610685,0.0139873621009455,0.000583316018846,0.0001263063862743,3.628235539e-05,1450000000000000.0,138.86778724552067,54.37779449911652,0.0527512961996279,0.0010765570652985,0.0008791882699937,0.6148762343653585,0.0256422300734486,0.0055523546618836,0.0015949510633317,6.374114957455048e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8881915985688735,21.724407078497386,13.987362100945564,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
25,25,-72.66307484019887,40.48089496159957,10942.32,adbb36,NKS2975,216.06666648,0.4898957328491163,2023-02-06 15:25:00,34610D,219.2277,27.641731,40.038864,260.37461274995235,66285.46608578046,0.3404085202059246,0.7544475191574971,45.26685114944983,44426.19224041114,75.8139067388425,2.4059452345891523e-05,0.2283830848108751,0.3674911317648751,0.3772237595787485,0.8634810230501162,0.0143312585051954,0.0005846595938345,0.0001267998665463,3.628235539e-05,1450000000000000.0,142.997982781112,55.99509487186944,0.0543202213793397,0.0011085759465171,0.0009053370229889,0.6487309455389672,0.0264656988072052,0.005739830684723,0.0016423879807905,6.563693416670225e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8772191422095077,22.21309612020557,14.331258505195404,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
26,26,-72.76727294921875,40.39595031738281,10965.18,adbb36,NKS2975,216.581110924,0.4918259449080842,2023-02-06 15:26:00,34610D,219.38228,26.509506,37.996284,257.13884039227884,66240.199234631,0.342289469111007,0.7345056063049977,44.07033637829986,43475.566210377125,0.0,2.154424330656288e-05,0.2275624291978954,0.3214753715269862,0.3672528031524988,0.8426526315977435,0.0139532926284581,0.0005881767835287,0.0001274303571056,3.628235539e-05,1450000000000000.0,139.21819261904926,54.515006099956935,0.0528844036539598,0.0010792735439583,0.0008814067275659,0.614926299721001,0.0259211487000176,0.0056158987024518,0.0015989756066343,6.39019877485348e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8660123849267077,21.73778310518856,13.953292628458115,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,,
27,27,-72.87213134765625,40.31016540527344,10965.18,adbb36,NKS2975,216.06666648,0.4937605222052398,2023-02-06 15:27:00,34610D,219.62718,25.322676,36.49042,254.50516204454644,66196.1288982527,0.3438139931403042,0.7199350082534518,43.19610049520711,42779.05340912297,-50.65088259689207,1.9607489266420347e-05,0.2275624291978954,0.283573661349501,0.3599675041267259,0.8267786933951272,0.013810418612023,0.000590346334379,0.0001275287801869,3.628235539e-05,1450000000000000.0,136.45648146435923,53.43357631257119,0.0518353205942485,0.0010578636855969,0.0008639220099041,0.596556230245826,0.0255006595868148,0.0055087460049853,0.0015672562696292,6.26343457180503e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8566644660024203,21.389526704561487,13.810418612023046,36.28235538999999,1450000000000000.0,,,,,,,,,,,,,,
28,28,-72.97219016335225,40.22765078787076,10949.94,adbb36,NKS2975,203.719999824,0.4956731369066527,2023-02-06 15:28:00,34610D,219.87225,24.261385,35.590027,252.6015360767077,66152.93279775749,0.3423627836228229,0.7363878711545307,44.183272269271846,43547.71092100944,25.354286398758468,1.838568418438834e-05,0.2281092671150505,0.2583536316270951,0.3681939355772654,0.8452413575849528,0.013938957667702,0.0005910741472647,0.0001281181941949,3.628235539e-05,1450000000000000.0,139.57495709862977,54.65470779708928,0.0530199267231262,0.0010820393208801,0.0008836654453854,0.6158687617819356,0.0261155899799266,0.0056606810567619,0.0016030731867668,6.406574479044418e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8497828672135652,21.77385546050472,13.938957667702084,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
29,29,-73.06964111328125,40.14761352539063,10957.56,adbb36,NKS2975,205.263333156,0.4975625083774738,2023-02-06 15:29:00,34610D,220.17801,23.196163,33.573227,249.6584491820184,66108.74952548822,0.3493578570402228,0.6535438560966579,39.212631365799474,39443.77210486153,50.80008626663757,1.6292611265531026e-05,0.2278357153099147,0.2199578216347071,0.3267719280483289,0.7523590004376576,0.0131953742341469,0.0005945181082967,0.000126589836421,3.628235539e-05,1450000000000000.0,123.87270248456052,48.50602499949395,0.0470551576389593,0.0009603093395705,0.0007842526273159,0.5174253455773735,0.0233126194209313,0.0049639205902371,0.0014227266269909,5.685831548040924e+16,cruise,0,GTF,0,43031,1.237,3.16,3.16,0,0.8392986108821839,19.721886052430765,13.195374234146964,36.28235539,1450000000000000.0,,,,,,,,,,,,,,
