Unnamed: 0,index,longitude,latitude,altitude,icao24,callsign,groundspeed,cos_sza,flight_id,air_temperature,eastward_wind,northward_wind,true_airspeed,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,time,specific_humidity,air_pressure,rhi,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,flight_phase,WAR,engine_model,SAF,LHV,ei_h2o,ei_co2_conservative,ei_co2_optimistic,water_injection_kg_s,mach,thrust_per_engine,ei_nox_py,ei_nvpm_mass_py,ei_nvpm_number_py,PT3,TT3,TT4,specific_humidity_gsp,FAR,fuel_flow_gsp,thrust_gsp,W3,W3_no_specific_humid,WAR_gsp,thrust_setting_meem,ei_nox_p3t3,ei_nvpm_number_p3t3_meem,ei_nvpm_mass_p3t3_meem,ei_mass_meem,ei_number_meem
67,68,-54.511922200520814,-21.035792463916835,12283.44,e80338,SKX5563,227.898888692,-0.9925087923261136,34610D,217.28508,7.7272296,-2.2018366,235.1868103603161,71005.58241456919,0.3179912956777853,0.679852973409776,40.79117840458656,39645.75835436407,0.0,2023-08-06 04:08:00,1.7314794397660443e-05,0.1848511540387454,0.2750573820203706,0.339926486704888,0.9044256170944815,0.0137896319581962,0.0007044097342328,0.000152771050431,3.628235539e-05,1450000000000000.0,128.85933258008893,50.45868768647358,0.0489494140855038,0.000998967634398,0.0008158235680917,0.5624953373403717,0.0287337031390191,0.0062317111731871,0.0014800000316521,5.914720868665051e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7958939581312344,19.82287917718203,13.789631958196257,36.28235538999999,1450000000000000.0,14.1593284451645,825.102915423983,1794.05215303559,0.00173147943977,0.0293763532647044,0.268431547374589,19.8231093756376,9.1376742700432,9.137516055831387,0.001731479439766,0.7731284974530189,16.287445711698442,457277165949616.94,5.8347455898953875,1.811747685224419,202027310454916.25
68,69,-54.6344212123326,-20.99116516113281,12283.44,e80338,SKX5563,227.898888692,-0.9923551683269118,34610D,217.19727,8.032319,-2.6349277,235.4589221642263,70964.7912361646,0.3139154962678634,0.7047196150269436,42.28317690161661,40522.237830603706,0.0,2023-08-06 04:09:00,1.7683218341000377e-05,0.1848511540387454,0.2841420636006047,0.3523598075134718,0.936390338185502,0.0143743292310766,0.0007034708771374,0.0001525674328804,3.628235539e-05,1450000000000000.0,133.5725558322069,52.30428982729976,0.0507398122819399,0.0010355063731008,0.0008456635380323,0.6077923057196908,0.0297449835431397,0.00645103575391,0.0015341332513626,6.131060650734409e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.7969758847545254,20.261118915301854,14.374329231076606,36.28235538999999,1450000000000000.0,14.4078299784404,828.784776024525,1805.22580015174,0.0017683218341,0.0296661957821115,0.27487219897623,20.2609172007539,9.26550208847389,9.265338247474656,0.0017683218341,0.7882167532985812,16.518564067294506,480447298523109.0,6.209029429671283,1.819160550618495,202563014860134.62
69,70,-54.755859375,-20.946807861328125,12283.44,e80338,SKX5563,227.898888692,-0.992194302028202,34610D,217.10513,8.337373,-3.0710938,236.3839569382561,70922.50805926298,0.3153879409700067,0.7014006853909232,42.08404112345539,40362.00479596817,25.04263445820224,2023-08-06 04:10:00,1.805794987516496e-05,0.1848511540387454,0.293669455207098,0.3507003426954616,0.9314603897588016,0.0142952285538833,0.0007024865132619,0.0001523539459055,3.628235539e-05,1450000000000000.0,132.94348590899557,52.05795886971433,0.0505008493481464,0.0010306295785336,0.0008416808224691,0.6016009863308208,0.0295634713127902,0.0064116697248094,0.0015269081362885,6.102185962901032e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8002767143126717,20.181002397984084,14.295228553883351,36.28235539,1450000000000000.0,14.3965884303878,828.166232002471,1802.93414048488,0.00180579498752,0.0296028161208648,0.274272402089513,20.1801547910734,9.26507805776623,9.264910752472264,0.0018057949875164,0.7856574322831652,16.488603069592255,477361922600200.9,6.156108938903762,1.8419660671657536,204208795399216.5
70,71,-54.87835693359375,-20.902001332428483,12291.06,e80338,SKX5563,227.384444248,-0.9920306055291976,34610D,216.93379,8.567574,-3.5004659,236.50357494313133,70880.42401813953,0.3147674168113895,0.7049542615579879,42.29725569347927,40466.20325007631,-25.02920334315854,2023-08-06 04:11:00,1.8461306450674425e-05,0.1846291705508606,0.3066505493829197,0.3524771307789939,0.9347131776043988,0.0143637810767547,0.0007015178971429,0.0001521438742742,3.628235539e-05,1450000000000000.0,133.617030735701,52.32170529283386,0.0507567068321751,0.0010358511598403,0.0008459451138695,0.6075485209286546,0.0296722818690082,0.0064352683523745,0.0015346440630925,6.133102075554494e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8009978113691965,20.23310162503816,14.36378107675475,36.28235539,1450000000000000.0,14.4289835293426,828.35729045703,1803.86220234553,0.00184613064507,0.0296301423390911,0.275057975487466,20.2329269201107,9.28304603939014,9.282874665396198,0.0018461306450674,0.7864479660212522,16.507620873380674,479925081719677.56,6.193224208309025,1.8439928001419252,204239060542173.7
71,72,-55.00050136021207,-20.857223510742188,12283.44,e80338,SKX5563,227.384444248,-0.991861119284051,34610D,216.87236,8.712445,-3.8973458,237.2668707945801,70838.12676244605,0.308746364266417,0.7441022295766032,44.646133774596194,41761.56963425035,25.01565249609819,2023-08-06 04:12:00,1.900816025242026e-05,0.1848511540387454,0.3186610292039416,0.3720511147883016,0.9852284158917276,0.0152978146700242,0.0007000040491322,0.0001518155537818,3.628235539e-05,1450000000000000.0,141.03713659394936,55.227267479175495,0.0535753605295154,0.0010933747046839,0.0008929226754919,0.6829882802168843,0.0312524744203191,0.0067779775232095,0.0016198668923993,6.473689397316448e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8036967697008471,20.88078481712517,15.297814670024284,36.28235539,1450000000000000.0,14.803137609984,834.068588394655,1821.24012363037,0.00190081602524,0.0300834096795612,0.284956290672132,20.8803868751097,9.47220723007777,9.472027184267136,0.001900816025242,0.8103661983162507,16.895924715661494,515047819797631.25,6.77438016744074,1.86589966590014,205932301059820.8
72,73,-55.12184143066406,-20.8125,12291.06,e80338,SKX5563,228.413333136,-0.991684965798534,34610D,216.69893,8.787647,-4.2960906,238.1798063423601,70793.48062867144,0.3118324904324792,0.7309166885455296,43.85500131273177,41272.783703221394,0.0,2023-08-06 04:13:00,1.9437161992984114e-05,0.1846291705508606,0.3329300093702034,0.3654583442727648,0.96705592077506,0.0149768183198361,0.0006990146223555,0.0001516009687745,3.628235539e-05,1450000000000000.0,138.53794914691966,54.24863662384921,0.0526260015752781,0.0010740000321485,0.0008771000262546,0.6568083870769599,0.0306552871810231,0.0066484606846175,0.0015911627432574,6.358975190346107e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8071119697686482,20.636391851610696,14.976818319836156,36.28235539,1450000000000000.0,14.7053281284258,831.955015859167,1814.3773245317,0.0019437161993,0.0299000755018801,0.281947894332999,20.6364145965202,9.42967165133982,9.429488368846885,0.0019437161992984,0.8013985817033957,16.754395925747254,503750385557787.06,6.579736041171407,1.88704867554354,207335526829194.3
73,74,-55.24568285260881,-20.766815185546875,12291.06,e80338,SKX5563,228.92777758,-0.9915092749343531,34610D,216.5793,8.809479,-4.682514,238.49370179673,70749.62562735872,0.3078643866963679,0.7552180145503403,45.31308087302042,42046.93443451401,24.98254307198036,2023-08-06 04:14:00,1.997795187668561e-05,0.1846291705508606,0.3475969411826325,0.3776090072751701,0.9975285504626826,0.0155476365513906,0.0006977420176347,0.0001513249686703,3.628235539e-05,1450000000000000.0,143.1440224778715,56.05228103992626,0.0543756970476244,0.0011097081030127,0.0009062616174604,0.7045113124374908,0.0316168404735862,0.0068570005434686,0.0016440653040507,6.570396726587961e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8083987843520999,21.023467217257007,15.547636551390609,36.28235538999999,1450000000000000.0,14.9221476175126,835.142833812197,1824.51695940087,0.00199779518767,0.0301692606718825,0.287771967391672,21.0233793484979,9.53858201967384,9.538391462148228,0.0019977951876685,0.8149123247075254,16.974977456763288,524917800899899.4,6.92813012568308,1.8962387101805855,207994910889139.7
74,75,-55.366941179547965,-20.721908569335938,12298.68,,,229.442222024,-0.9913228111316608,34610D,216.41814,8.74981,-5.066071,238.9714601389131,70704.3125464857,0.3046884502118913,0.7578504554863158,45.47102732917895,42620.49024584871,0.0,2023-08-06 04:15:00,2.0384507819997618e-05,0.1844074536378271,0.3618116064360251,0.3789252277431579,1.0,0.0156024483962186,0.0006968838183198,0.0001511388440266,3.628235539e-05,1450000000000000.0,143.6429753328763,56.24766080619436,0.0545652327950147,0.00111357617949,0.0009094205465835,0.7094593574265619,0.0316880231480842,0.0068724385072375,0.0016497959735056,6.593298962730947e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8103197847256408,21.31024512292436,15.602448396218636,36.28235539,1450000000000000.0,15.0869032106879,837.587295498515,1832.40982771661,0.002038450782,0.0303805158563716,0.292271228351612,21.3102050575429,9.62035107413472,9.620154972010464,0.0020384507819997,0.8253163718810393,17.13267086224037,542488508805542.1,7.215633005600804,1.90694603548158,208645560485765.9
75,76,-55.49071720668246,-20.675949096679688,12298.68,e80338,SKX5563,229.956666468,-0.9911370738489568,34610D,216.31485,8.642647,-5.4299564,239.9271764025924,70658.84151915651,0.3096009654094112,0.7526109271294039,45.15665562776424,41886.38120641778,0.0,2023-08-06 04:16:00,2.0857019102578382e-05,0.1844074536378271,0.3752536485517133,0.3763054635647019,0.9923929949950124,0.0154749365800313,0.0006957868384401,0.0001509009331058,3.628235539e-05,1450000000000000.0,142.64987512810723,55.85878301154437,0.054187986753317,0.0011058772806799,0.0009031331125552,0.6987963820059677,0.0314194066537704,0.0068141814701679,0.0016383898277103,6.547715066025814e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8137546727746202,20.943190603208887,15.47493658003136,36.28235539,1450000000000000.0,14.9312844475388,834.421461431293,1821.85290745544,0.00208570191026,0.0300951610177313,0.287475987232583,20.94327658683,9.55223290093746,9.552033673988651,0.0020857019102578,0.8118595306576628,16.951783347583174,521766465203234.2,6.870592461887963,1.9318393075956304,210426844034986.2
76,77,-55.61426435198104,-20.630035400390625,12298.68,e80338,SKX5563,229.956666468,-0.99094575059344,34610D,216.22968,8.454463,-5.7812533,239.6343462699924,70613.68486352876,0.303678788419029,0.7597215632941313,45.58329379764788,42886.06738285149,0.0,2023-08-06 04:17:00,2.1229423654695885e-05,0.1844074536378271,0.3862535149347383,0.3798607816470656,1.0,0.0156246419718216,0.0006948831761579,0.0001507049485397,3.628235539e-05,1450000000000000.0,143.99762510676962,56.38653442769043,0.0546999525571774,0.0011163255623913,0.0009116658759529,0.7122226454846067,0.0316750639738519,0.0068696279460485,0.001653869265413,6.609577600658942e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8129215265924878,21.443033691425747,15.624641971821656,36.28235538999999,1450000000000000.0,15.1834392113521,838.412888572154,1835.05985745668,0.00212294236547,0.0304514316949304,0.294585381027566,21.4428370815983,9.67394190128043,9.673736533429238,0.0021229423654695,0.8288514323760099,17.204481771346696,550165889238578.8,7.33659146836207,1.9257714579441767,209993001262369.6
77,78,-55.73678152901783,-20.5843505859375,12298.68,e80338,SKX5563,230.985555356,-0.9907470408419844,34610D,216.14879,8.248806,-6.13035,240.39267597163024,70568.10156973111,0.3048953538461616,0.7601276096494108,45.60765657896465,42779.16711645713,24.93531935598888,2023-08-06 04:18:00,2.159634091901253e-05,0.1844074536378271,0.3971313731262411,0.3800638048247054,1.0,0.0156341825824398,0.0006940256665159,0.000150518973471,3.628235539e-05,1450000000000000.0,144.07458713294932,56.41667118817928,0.0547291878947575,0.0011169222019338,0.0009121531315792,0.7130384301127475,0.0316528842554447,0.006864817650684,0.001654753204503,6.613110203949874e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8156466241645572,21.38958355822857,15.634182582439852,36.28235538999999,1450000000000000.0,15.1847269281852,838.008583078324,1833.35184647366,0.0021596340919,0.0304020986587091,0.294286567576244,21.390001237169,9.67981095252255,9.679601908539771,0.0021596340919012,0.8271202594473924,17.18555113740121,548107862924751.7,7.299974298689891,1.9456900343633183,211416306675528.4
78,79,-55.85983821323941,-20.538345336914062,12306.3,e80338,SKX5563,231.4999998,-0.9905445796078988,34610D,216.03015,7.983794,-6.4880905,240.2201030165696,70522.49391315214,0.3080187844826798,0.7608900410069206,45.65340246041524,42174.76627389901,0.0,2023-08-06 04:19:00,2.182570210869821e-05,0.1841860029795212,0.407177095211223,0.3804450205034603,1.0,0.0156386963385372,0.0006936190492803,0.0001504307870942,3.628235539e-05,1450000000000000.0,144.21909837245173,56.47325884353365,0.0547840829524982,0.0011180425092346,0.0009130680492083,0.713959697899461,0.0316660696110046,0.0068676772656514,0.0016564129728314,6.61974335676021e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8152847985972531,21.087383136949505,15.6386963385372,36.28235539,1450000000000000.0,15.0186631914099,835.121802400252,1824.72183054156,0.00218257021087,0.0301771029637168,0.289687304227396,21.0874157240545,9.59957304634906,9.599363533500144,0.0021825702108698,0.8148233213426264,17.006482889016006,529839881456994.25,6.992623853796266,1.939884158435288,210884258654976.25
79,80,-55.98417009626115,-20.49188232421875,12306.3,e80338,SKX5563,232.014444244,-0.9903400512130368,34610D,215.97287,7.707381,-6.8397093,239.93458361537435,70476.84051069173,0.3044096278144904,0.761871144524767,45.71226867148602,42765.74025812494,24.91639113278369,2023-08-06 04:20:00,2.2104229397079583e-05,0.1841860029795212,0.4154969760789633,0.3809355722623835,1.0,0.0156454594459246,0.0006930121786141,0.0001502991701323,3.628235539e-05,1450000000000000.0,144.40505673322434,56.54607634662821,0.0548547224057832,0.0011194841307302,0.0009142453734297,0.7151894456809486,0.0316791589014235,0.0068705160461927,0.001658548777622,6.628278957365474e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8144238283658,21.38287012906247,15.645459445924695,36.28235539,1450000000000000.0,15.1637686646716,837.405517728782,1832.41651622812,0.00221042293971,0.0303858670647647,0.293809440104633,21.3828295511431,9.66927945410951,9.669065726862629,0.0022104229397079,0.8245380278842631,17.14962395421033,546509057129042.2,7.264968170328213,1.9335876606364517,210434495026896.56
80,81,-56.10647860440338,-20.445789401814125,12313.92,e80338,SKX5563,231.4999998,-0.9901258633440342,34610D,215.878,7.3833737,-7.178914,240.0588405522421,70431.12824202025,0.3091532314693038,0.7546029626430925,45.27617775858555,41913.5117784116,0.0,2023-08-06 04:21:00,2.2187600829799016e-05,0.1839648182562038,0.4218062889260551,0.3773014813215462,0.9901907657701472,0.0154667473860903,0.0006928569171833,0.000150265497327,3.628235539e-05,1450000000000000.0,143.02744553937174,56.006631887370325,0.0543314133103026,0.0011088043532714,0.0009055235551717,0.7002752039997667,0.0313699129436585,0.00680344736796,0.0016427263721378,6.565045774994904e+16,cruise,0,GTF2035,100,44101.0,1.3714565217391306,2.8440000000000003,0.1896,0,0.8150245848894349,20.9567558892058,15.466747386090388,36.28235538999999,1450000000000000.0,14.9430315001556,833.631900881939,1820.64225517652,0.00221876008298,0.0300745105386011,0.28761303026989,20.9568554838123,9.56334866699606,9.563136483941074,0.0022187600829799,0.8085145292516166,16.92264158969394,521304214152100.1,6.8469148529539545,1.9348378743109311,210406612127884.8
